received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
2000,2000,2000,1.0,0.0,0,175,0,0.0,123.0,336.0,568.0,791.0,0.0,1.0,2.0,3.0,4.0,1.0,3.069615999629209,0,0,,,,5,8,True,3235,True,False,peer1,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30002,False,True,peer10,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
1999,1999,2000,0.9995,0.0,0,276,0,43.0,249.0,477.0,690.0,1312.0,1.0,2.0,3.0,4.0,5.0,1.0,4.964605851658591,0,0,,,,2,6,True,3658,True,False,peer2,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,154,0,38.0,109.0,319.0,541.0,908.0,0.0,0.0,1.0,3.0,5.0,1.0,3.9627376567325223,220,1,220.0,220.0,220.0,1,5,True,3327,True,False,peer3,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,152,0,38.0,110.0,320.0,521.0,713.0,0.0,0.0,1.0,3.0,5.0,1.0,3.6480261172023387,0,0,,,,2,6,True,2839,True,False,peer4,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
1997,1997,2000,0.9985,0.0,0,186,0,35.0,116.0,321.0,542.0,2258.0,0.0,0.0,1.0,3.0,4.0,1.0,3.964553212103145,0,0,,,,2,5,True,3481,True,False,peer5,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30001,False,True,peer6,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,173,0,33.0,108.0,313.0,512.0,711.0,0.0,0.0,1.0,3.0,4.0,1.0,3.0484954948273946,0,0,,,,3,6,True,2509,True,False,peer7,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
1995,1995,2000,0.9975,0.0,0,233,0,42.0,263.0,540.0,801.0,1044.0,1.0,2.0,3.0,4.0,5.0,1.0,2.5793087032819324,0,0,,,,0,3,True,4122,True,False,peer8,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
1931,1931,2000,0.9655,0.0,0,213,0,83.0,263.0,531.0,765.0,1145.0,1.0,2.0,3.0,4.0,5.0,1.0,1.9559155682480363,0,0,,,,0,2,True,10622,True,False,peer9,UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0550217978759155,0,0,,,,6,9,True,1060,True,False,peer1,UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,168,0,35.0,110.0,308.0,487.0,612.0,1.0,1.0,2.0,3.0,4.0,1.0,3.7965650354823053,0,0,,,,2,6,True,1343,True,False,peer10,UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,True
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,False,30001,False,True,peer2,UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,170,0,35.0,104.0,304.0,504.0,738.0,0.0,0.0,2.0,3.0,4.0,1.0,4.920241218984486,0,0,,,,2,6,True,322,True,False,peer3,UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,True
2000,2000,2000,1.0,0.0,0,325,0,77.0,290.0,593.0,920.0,1415.0,1.0,2.0,2.0,3.0,6.0,1.0,4.919572957010515,0,0,,,,2,6,True,434,True,False,peer4,UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,True
