uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,0.7961,0.0,1592.2,1592.2,1600.0,0.0,156.2,39.0,167.625,394.625,617.5,1110.25,0.375,0.875,1.875,3.375,4.625,1.0,3.399157325460396,22.0,0.1,220.0,220.0,220.0,1.5,4.1,9379.6,1.0,0.8,0.8,0.995125
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,0.8993,0.0,1798.6,1798.6,1800.0,0.0,157.8,35.55555555555556,121.33333333333333,307.6666666666667,499.0,846.5555555555555,0.4444444444444444,0.6666666666666666,1.6666666666666667,2.5555555555555554,3.888888888888889,1.0,4.172843643132606,0.0,0.0,,,,2.3,5.6,4168.9,1.0,0.9,0.9,0.9992222222222222
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,0.9978,0.0,1995.6,1995.6,2000.0,0.0,245.4,38.1,187.0,392.7,647.7,1028.2,0.3,0.9,2.2,3.4,4.7,1.0,3.7188525412295212,0.0,0.0,,,,2.9,6.3,1749.4,1.0,1.0,1.0,0.9978
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,0.89985,0.0,1799.7,1799.7,1800.0,0.0,200.7,43.333333333333336,174.11111111111111,382.77777777777777,632.7777777777778,2031.111111111111,0.4444444444444444,1.1111111111111112,1.8888888888888888,3.0,4.333333333333333,1.0,3.9331552402972836,0.0,0.0,,,,4.5,7.3,4391.9,1.0,0.9,0.9,0.9998333333333334
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,0.7934,0.0,1586.8,1586.8,1600.0,0.0,117.2,29.125,100.75,291.875,513.625,994.75,0.25,0.5,1.25,2.25,3.25,1.0,3.2616840120164934,119.2,0.1,1192.0,1192.0,1192.0,1.2,4.1,8366.7,1.0,0.8,0.8,0.99175
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,0.99785,0.0,1995.7,1995.7,2000.0,0.0,200.9,42.0,161.7,400.5,676.0,1394.7,0.6,1.1,2.0,3.1,4.2,1.0,3.674569531358478,238.0,0.4,595.0,595.0,595.0,3.9,7.3,1812.3,1.0,1.0,1.0,0.99785
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,0.79865,0.0,1597.3,1597.3,1600.0,0.0,129.1,31.25,104.5,296.5,528.25,857.375,0.375,0.625,1.25,2.375,3.75,1.0,3.5291883136865074,21.3,0.1,213.0,213.0,213.0,2.0,4.6,7358.6,1.0,0.8,0.8,0.9983124999999999
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,0.9986499999999999,0.0,1997.3,1997.3,2000.0,0.0,246.9,41.9,213.1,549.6,1550.5,2055.4,0.3,0.9,1.6,2.8,4.1,1.0,3.5020807107605436,0.0,0.0,,,,3.2,6.1,2207.5,1.0,1.0,1.0,0.9986499999999999
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,0.9995,0.0,1999.0,1999.0,2000.0,0.0,224.6,47.9,214.3,469.7,799.8,1373.5,0.4,0.9,1.9,3.9,4.7,1.0,3.4228335785061907,260.5,0.3,868.3333333333334,868.3333333333334,868.3333333333334,3.1,6.5,1268.2,1.0,1.0,1.0,0.9995
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.6980000000000001,0.0,1396.0,1396.0,1400.0,0.0,145.6,31.142857142857142,174.42857142857142,389.0,1201.5714285714287,1829.857142857143,0.2857142857142857,1.0,2.142857142857143,3.0,3.857142857142857,1.0,3.504705968023136,0.0,0.0,,,,0.6,3.3,10410.7,1.0,0.7,0.7,0.9971428571428572
