uc,run,delivery_rate_joined_only
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,0.9839444444444444
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,0.991125
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,0.9925
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,0.9898
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,0.99215
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,0.9837777777777776
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,0.9894000000000001
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,0.9891
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,0.9885555555555556
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,0.9925499999999999
UC3_P20,run-20251204-000612_uc9_p20_m2000_r10_s256_DIRECT,0.9824705882352942
UC3_P20,run-20251204-000958_uc9_p20_m2000_r10_s256_DIRECT,0.9881249999999999
UC3_P20,run-20251204-001343_uc9_p20_m2000_r10_s256_DIRECT,0.9859500000000001
UC3_P20,run-20251204-001729_uc9_p20_m2000_r10_s256_DIRECT,0.98895
UC3_P20,run-20251204-002115_uc9_p20_m2000_r10_s256_DIRECT,0.99175
UC3_P20,run-20251204-002501_uc9_p20_m2000_r10_s256_DIRECT,0.9891500000000001
UC3_P20,run-20251204-002846_uc9_p20_m2000_r10_s256_DIRECT,0.9882
UC3_P20,run-20251204-003234_uc9_p20_m2000_r10_s256_DIRECT,0.986
UC3_P20,run-20251204-003622_uc9_p20_m2000_r10_s256_DIRECT,0.987275
UC3_P20,run-20251204-004008_uc9_p20_m2000_r10_s256_DIRECT,0.9885999999999999
UC3_P30,run-20251204-073428_uc9_p30_m2000_r10_s256_DIRECT,0.9958166666666667
UC3_P30,run-20251204-073826_uc9_p30_m2000_r10_s256_DIRECT,0.9946333333333334
UC3_P30,run-20251204-074218_uc9_p30_m2000_r10_s256_DIRECT,0.99315
UC3_P30,run-20251204-074611_uc9_p30_m2000_r10_s256_DIRECT,0.9941833333333334
UC3_P30,run-20251204-075003_uc9_p30_m2000_r10_s256_DIRECT,0.99155
UC3_P30,run-20251204-075356_uc9_p30_m2000_r10_s256_DIRECT,0.9849333333333334
UC3_P30,run-20251204-075748_uc9_p30_m2000_r10_s256_DIRECT,0.9940666666666668
UC3_P30,run-20251204-080141_uc9_p30_m2000_r10_s256_DIRECT,0.9895833333333334
UC3_P30,run-20251204-080533_uc9_p30_m2000_r10_s256_DIRECT,0.99575
UC3_P30,run-20251204-080930_uc9_p30_m2000_r10_s256_DIRECT,0.9904666666666667
UC3_P40,run-20251204-093601_uc9_p40_m2000_r10_s256_DIRECT,0.995425
UC3_P40,run-20251204-094352_uc9_p40_m2000_r10_s256_DIRECT,0.9928125
UC3_P40,run-20251204-094748_uc9_p40_m2000_r10_s256_DIRECT,0.9923500000000001
UC3_P40,run-20251204-095143_uc9_p40_m2000_r10_s256_DIRECT,0.9937374999999999
UC3_P40,run-20251204-095539_uc9_p40_m2000_r10_s256_DIRECT,0.99145
UC3_P40,run-20251204-095935_uc9_p40_m2000_r10_s256_DIRECT,0.9890625
UC3_P40,run-20251204-100331_uc9_p40_m2000_r10_s256_DIRECT,0.9944625
UC3_P40,run-20251204-100727_uc9_p40_m2000_r10_s256_DIRECT,0.9955128205128206
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,0.98425
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,0.9911125000000001
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,0.9930800000000001
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,0.99524
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,0.99702
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,0.9950500000000001
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,0.9976700000000001
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,0.99464
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,0.9939100000000001
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,0.99351
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,0.9911
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,0.9965408163265306
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,0.995125
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,0.9992222222222222
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,0.9978
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,0.9998333333333334
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,0.99175
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,0.99785
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,0.9983124999999999
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,0.9986499999999999
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,0.9995
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.9971428571428572
UC4_P20,run-20251204-123517_uc10_p20_m2000_r10_s256_RELAY,0.9968928571428571
UC4_P20,run-20251204-123913_uc10_p20_m2000_r10_s256_RELAY,0.9989166666666667
UC4_P20,run-20251204-124307_uc10_p20_m2000_r10_s256_RELAY,0.9973125
UC4_P20,run-20251204-124659_uc10_p20_m2000_r10_s256_RELAY,0.9991749999999999
UC4_P20,run-20251204-125051_uc10_p20_m2000_r10_s256_RELAY,0.9890882352941176
UC4_P20,run-20251204-125445_uc10_p20_m2000_r10_s256_RELAY,0.9975882352941177
UC4_P20,run-20251204-125837_uc10_p20_m2000_r10_s256_RELAY,1.0
UC4_P20,run-20251204-130229_uc10_p20_m2000_r10_s256_RELAY,0.9924375
UC4_P20,run-20251204-130623_uc10_p20_m2000_r10_s256_RELAY,0.9991428571428571
UC4_P20,run-20251204-131016_uc10_p20_m2000_r10_s256_RELAY,0.995
UC4_P30,run-20251204-140547_uc10_p30_m2000_r10_s256_RELAY,0.9983214285714286
UC4_P30,run-20251204-140947_uc10_p30_m2000_r10_s256_RELAY,0.9972083333333334
UC4_P30,run-20251204-141342_uc10_p30_m2000_r10_s256_RELAY,0.9887307692307693
UC4_P30,run-20251204-141738_uc10_p30_m2000_r10_s256_RELAY,0.9944615384615385
UC4_P30,run-20251204-142134_uc10_p30_m2000_r10_s256_RELAY,0.9919545454545454
UC4_P30,run-20251204-142531_uc10_p30_m2000_r10_s256_RELAY,0.9875714285714287
UC4_P30,run-20251204-142927_uc10_p30_m2000_r10_s256_RELAY,0.9996190476190476
UC4_P30,run-20251204-143323_uc10_p30_m2000_r10_s256_RELAY,0.9983043478260869
UC4_P30,run-20251204-143719_uc10_p30_m2000_r10_s256_RELAY,0.9855
UC4_P30,run-20251204-144115_uc10_p30_m2000_r10_s256_RELAY,0.9985652173913043
UC4_P40,run-20251205-003550_uc10_p40_m2000_r10_s256_RELAY,0.997090909090909
UC4_P40,run-20251205-003946_uc10_p40_m2000_r10_s256_RELAY,0.9965138888888888
UC4_P40,run-20251205-004340_uc10_p40_m2000_r10_s256_RELAY,0.9990862068965518
UC4_P40,run-20251205-004733_uc10_p40_m2000_r10_s256_RELAY,0.9915625
UC4_P40,run-20251205-005127_uc10_p40_m2000_r10_s256_RELAY,0.9984827586206897
UC4_P40,run-20251205-005520_uc10_p40_m2000_r10_s256_RELAY,0.9956935483870967
UC4_P40,run-20251205-005913_uc10_p40_m2000_r10_s256_RELAY,0.997953125
UC4_P40,run-20251205-010306_uc10_p40_m2000_r10_s256_RELAY,0.9862333333333333
UC4_P40,run-20251205-010700_uc10_p40_m2000_r10_s256_RELAY,0.9915952380952381
UC4_P40,run-20251205-011054_uc10_p40_m2000_r10_s256_RELAY,0.9997571428571429
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,0.9978690476190476
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,0.9996309523809523
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,0.9982625
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,0.9988953488372093
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,0.9979189189189189
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,0.9952580645161291
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,0.9978750000000001
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,0.9958285714285714
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,0.0
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,0.0
