uc,run,out_of_order
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,151.8
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,162.9
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,159.8
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,207.2
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,170.3
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,122.0
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,215.7
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,197.9
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,164.1
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,247.5
UC3_P20,run-20251204-000612_uc9_p20_m2000_r10_s256_DIRECT,213.95
UC3_P20,run-20251204-000958_uc9_p20_m2000_r10_s256_DIRECT,345.0
UC3_P20,run-20251204-001343_uc9_p20_m2000_r10_s256_DIRECT,299.65
UC3_P20,run-20251204-001729_uc9_p20_m2000_r10_s256_DIRECT,282.6
UC3_P20,run-20251204-002115_uc9_p20_m2000_r10_s256_DIRECT,267.45
UC3_P20,run-20251204-002501_uc9_p20_m2000_r10_s256_DIRECT,299.0
UC3_P20,run-20251204-002846_uc9_p20_m2000_r10_s256_DIRECT,264.6
UC3_P20,run-20251204-003234_uc9_p20_m2000_r10_s256_DIRECT,286.65
UC3_P20,run-20251204-003622_uc9_p20_m2000_r10_s256_DIRECT,271.25
UC3_P20,run-20251204-004008_uc9_p20_m2000_r10_s256_DIRECT,297.3
UC3_P30,run-20251204-073428_uc9_p30_m2000_r10_s256_DIRECT,301.96666666666664
UC3_P30,run-20251204-073826_uc9_p30_m2000_r10_s256_DIRECT,320.3
UC3_P30,run-20251204-074218_uc9_p30_m2000_r10_s256_DIRECT,294.7
UC3_P30,run-20251204-074611_uc9_p30_m2000_r10_s256_DIRECT,299.6
UC3_P30,run-20251204-075003_uc9_p30_m2000_r10_s256_DIRECT,309.03333333333336
UC3_P30,run-20251204-075356_uc9_p30_m2000_r10_s256_DIRECT,284.1
