uc,avg_joined_ratio,std_joined_ratio,min_joined_ratio,max_joined_ratio,avg_saw_test_ratio,std_saw_test_ratio,min_saw_test_ratio,max_saw_test_ratio,runs_with_full_join,runs_with_any_miss,total_runs,valid_runs
UC3_P10,0.95,0.07071067811865474,0.8,1.0,0.95,0.07071067811865474,0.8,1.0,6,4,10,10
UC3_P20,0.985,0.04743416490252568,0.85,1.0,0.985,0.04743416490252568,0.85,1.0,9,1,10,10
UC3_P30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10,0,10,10
UC3_P40,0.9974999999999999,0.007905694150420948,0.975,1.0,0.9974999999999999,0.007905694150420948,0.975,1.0,9,1,10,10
UC3_P50,0.998,0.006324555320336764,0.98,1.0,0.998,0.006324555320336764,0.98,1.0,9,1,10,10
UC4_P10,0.89,0.11005049346146117,0.7,1.0,0.89,0.11005049346146117,0.7,1.0,4,6,10,10
UC4_P20,0.775,0.12527746981977428,0.6,1.0,0.775,0.12527746981977428,0.6,1.0,1,9,10,10
UC4_P30,0.7866666666666667,0.07888106377466154,0.7,0.9333333333333333,0.7866666666666667,0.07888106377466154,0.7,0.9333333333333333,0,10,10,10
UC4_P40,0.77,0.1039497741967512,0.525,0.9,0.77,0.1039497741967512,0.525,0.9,0,10,10,10
UC4_P50,0.755,0.09426406677899211,0.62,0.86,0.755,0.09426406677899211,0.62,0.86,0,8,20,8
