uc,run,delivery_rate_joined_only
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,0.9993297872340425
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,0.9989687500000001
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,0.9990625000000001
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,0.9786770833333334
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,0.9777717391304348
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,0.9776354166666668
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,0.9988541666666667
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,0.99959375
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,0.9784166666666666
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204445_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204855_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-205306_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-205717_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210127_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210537_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210949_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-211408_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,0.99886
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,0.97887
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,0.96098
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,0.99934
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,0.99884
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,1.0
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,0.9839444444444444
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,0.991125
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,0.9925
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,0.9898
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,0.99215
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,0.9837777777777776
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,0.9894000000000001
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,0.9891
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,0.9885555555555556
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,0.9925499999999999
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,0.9930800000000001
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,0.99524
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,0.99702
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,0.9950500000000001
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,0.9976700000000001
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,0.99464
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,0.9939100000000001
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,0.99351
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,0.9911
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,0.9965408163265306
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,0.995125
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,0.9992222222222222
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,0.9978
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,0.9998333333333334
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,0.99175
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,0.99785
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,0.9983124999999999
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,0.9986499999999999
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,0.9995
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.9971428571428572
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,0.9978690476190476
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,0.9996309523809523
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,0.9982625
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,0.9988953488372093
