uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,0.2,0.1,2.0,2.0,2.0
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,0.5,0.2,2.5,2.5,2.5
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,0.0,0.1,0.0,0.0,0.0
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,0.1,0.2,0.5,0.5,0.5
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,0.44,0.08,5.5,5.5,5.5
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,3.56,0.18,19.77777777777778,19.77777777777778,19.77777777777778
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,2.6,0.12,21.666666666666668,21.666666666666668,21.666666666666668
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,2.98,0.36,10.307692307692308,10.307692307692308,10.307692307692308
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,0.42,0.06,7.0,7.0,7.0
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,10.48,0.08,174.33333333333334,174.33333333333334,174.33333333333334
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,1.7,0.14,12.142857142857142,12.142857142857142,12.142857142857142
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,0.16,0.04,4.0,4.0,4.0
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,4247.34,0.18,30337.714285714286,30337.714285714286,30337.714285714286
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,0.1,0.1,1.0,1.0,1.0
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,2.4,0.1,24.0,24.0,24.0
