uc,run,neighbour_down,neighbour_up
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,3.9,7.7
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,3.8,7.5
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,3.5,7.1
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,4.0,7.6
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,3.6,7.3
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,4.1,7.9
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,4.0,7.6
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,3.3,7.0
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,3.7,7.3
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,3.6,7.2
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0,0.0
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,12.16,14.78
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,16.92,19.58
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,16.58,19.38
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,17.58,20.52
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,6.06,8.84
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,18.14,20.96
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,16.24,19.46
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,17.12,19.94
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,17.92,20.86
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,3.0,5.6
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,1.5,4.8
UC2_P10,run-20251203-204445_uc8_p10_m2000_r10_s256_RELAY,2.6,4.5
UC2_P10,run-20251203-204855_uc8_p10_m2000_r10_s256_RELAY,2.7,5.1
UC2_P10,run-20251203-205306_uc8_p10_m2000_r10_s256_RELAY,2.2,5.0
UC2_P10,run-20251203-205717_uc8_p10_m2000_r10_s256_RELAY,3.0,5.6
UC2_P10,run-20251203-210127_uc8_p10_m2000_r10_s256_RELAY,1.9,4.6
UC2_P10,run-20251203-210537_uc8_p10_m2000_r10_s256_RELAY,3.6,6.1
UC2_P10,run-20251203-210949_uc8_p10_m2000_r10_s256_RELAY,1.9,5.0
UC2_P10,run-20251203-211408_uc8_p10_m2000_r10_s256_RELAY,2.4,5.1
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,16.74,19.04
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,15.4,18.04
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,16.08,18.38
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,15.14,17.76
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,21.42,23.46
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,19.06,21.5
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,13.9,16.4
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,15.84,17.92
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,16.0,18.34
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,16.5,19.04
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,2.1,5.2
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,3.6,6.4
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,3.8,7.4
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,2.3,5.9
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,3.5,7.2
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,1.7,4.7
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,3.3,6.4
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,2.3,5.5
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,1.2,4.4
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,2.8,6.8
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,18.9,21.66
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,19.5,22.24
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,19.34,22.12
