uc,run,avg_connected_peers
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,3.314758667159788
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,3.842725703347148
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,3.9131917462698205
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,3.5487244702684224
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,3.814307774706274
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,3.5490456065224163
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,3.575394044694619
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,3.6266009666844012
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,3.351701881693737
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,3.9064001416095437
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,3.6274492221671135
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,3.6843655749074675
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,3.8462719120417956
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,3.7453284715196395
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,3.422699607093193
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,3.6221924137078556
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,3.7469354676555513
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,3.5104157571067547
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,3.699945423683993
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,3.8646895490006306
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,3.399157325460396
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,4.172843643132606
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,3.7188525412295212
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,3.9331552402972836
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,3.2616840120164934
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,3.674569531358478
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,3.5291883136865074
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,3.5020807107605436
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,3.4228335785061907
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,3.504705968023136
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,4.0573268650727305
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,3.5170104431477256
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,3.9168670618503603
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,3.6200389191423676
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,3.87505829722444
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,2.807355604838399
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,3.869726518908384
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,3.490894117722454
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,3.1469453368996367
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,2.810938207000714
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,4.003462321876853
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,2.681937159212623
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,2.8357339513821147
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,3.098920476639011
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,2.7726445063583016
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,2.9118060632288727
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,2.9523508250051327
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,2.8312047145072046
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,3.247206842026795
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,3.518978433406086
