uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC3_P40,run-20251204-093601_uc9_p40_m2000_r10_s256_DIRECT,0.995425,0.0,1990.85,1990.85,2000.0,0.0,316.75,63.45,287.275,489.325,1028.675,6219.65,0.575,1.65,3.725,5.65,8.975,1.0,3.7657065730753594,180.775,0.275,755.5555555555555,755.5555555555555,755.5555555555555,18.0,20.85,1670.575,1.0,1.0,1.0,0.995425
UC3_P40,run-20251204-094352_uc9_p40_m2000_r10_s256_DIRECT,0.9928125,0.0,1985.625,1985.625,2000.0,0.0,290.4,57.475,264.375,457.65,694.525,6512.875,0.425,1.45,3.425,5.225,7.6,1.0,3.6809293197868973,209.025,0.3,627.1111111111111,718.4444444444445,718.4444444444445,17.175,20.1,1489.925,1.0,1.0,1.0,0.9928125
UC3_P40,run-20251204-094748_uc9_p40_m2000_r10_s256_DIRECT,0.9923500000000001,0.0,1984.7,1984.7,2000.0,0.0,309.75,56.75,266.975,458.85,850.425,5237.375,0.475,1.45,3.575,5.5,9.325,1.0,3.879847101475536,24.025,0.05,480.5,480.5,480.5,19.0,22.2,1833.05,1.0,1.0,1.0,0.9923500000000001
UC3_P40,run-20251204-095143_uc9_p40_m2000_r10_s256_DIRECT,0.9937374999999999,0.0,1987.475,1987.475,2000.0,0.0,296.575,53.45,243.75,433.2,742.875,5350.275,0.475,1.425,3.325,5.2,8.775,1.0,3.8933013773017593,413.875,0.475,772.2,1059.4666666666667,1059.4666666666667,17.5,20.6,1480.875,1.0,1.0,1.0,0.9937374999999999
UC3_P40,run-20251204-095539_uc9_p40_m2000_r10_s256_DIRECT,0.99145,0.0,1982.9,1982.9,2000.0,0.0,311.35,61.55,275.725,470.875,881.75,6869.375,0.55,1.55,3.625,5.625,10.05,1.0,3.656761924930163,289.275,0.5,635.0,635.0,635.0,18.25,21.2,2933.8,1.0,1.0,1.0,0.99145
UC3_P40,run-20251204-095935_uc9_p40_m2000_r10_s256_DIRECT,0.9890625,0.0,1978.125,1978.125,2000.0,0.0,312.375,59.725,277.575,479.625,744.9,4122.725,0.475,1.45,3.35,5.125,7.625,1.0,3.8347264724190273,164.025,0.3,601.0,601.0,601.0,17.175,20.175,2421.275,1.0,1.0,1.0,0.9890625
UC3_P40,run-20251204-100331_uc9_p40_m2000_r10_s256_DIRECT,0.9944625,0.0,1988.925,1988.925,2000.0,0.0,315.025,62.7,317.875,526.225,787.85,1817.925,0.5,1.95,3.925,5.85,8.3,1.0,4.055987277422027,231.0,0.275,926.4444444444445,1006.2222222222222,1006.2222222222222,20.575,23.675,1153.3,1.0,1.0,1.0,0.9944625
UC3_P40,run-20251204-100727_uc9_p40_m2000_r10_s256_DIRECT,0.9706250000000001,0.0,1941.25,1941.25,1950.0,0.0,305.0,57.87179487179487,264.9230769230769,457.4102564102564,724.3846153846154,1696.3333333333333,0.46153846153846156,1.3333333333333333,3.230769230769231,5.128205128205129,7.512820512820513,1.0,3.6942828074684213,370.4,0.575,729.7058823529412,731.3529411764706,731.3529411764706,16.85,19.8,3101.225,1.0,0.975,0.975,0.9955128205128206
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,0.98425,0.0,1968.5,1968.5,2000.0,0.0,294.225,65.45,284.575,485.525,848.05,7094.675,0.575,1.95,3.925,5.85,8.75,1.0,3.686721915581907,214.8,0.375,610.3571428571429,610.3571428571429,610.3571428571429,17.45,20.35,3604.55,1.0,1.0,1.0,0.98425
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,0.9911125000000001,0.0,1982.225,1982.225,2000.0,0.0,329.525,56.375,297.15,511.425,901.225,3717.15,0.4,1.625,3.65,5.475,8.175,1.0,3.684915543271278,3280.4,0.475,8695.666666666666,8695.666666666666,8695.666666666666,17.75,20.8,2429.925,1.0,1.0,1.0,0.9911125000000001
