uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,121.8,0.2,609.0,609.0,609.0
UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,426.1,0.2,3158.0,3158.0,3158.0
UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,103.4,0.1,1034.0,1034.0,1034.0
UC7_P10_C30,run-20251218-075004_uc11_p10_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC7_P10_C30,run-20251218-075406_uc11_p10_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC7_P10_C30,run-20251218-075809_uc11_p10_c30_m2000_r10_s256_DIRECT,168.1,0.2,840.5,840.5,840.5
UC7_P10_C30,run-20251218-080213_uc11_p10_c30_m2000_r10_s256_DIRECT,665.6,0.3,2218.6666666666665,2218.6666666666665,2218.6666666666665
UC7_P10_C30,run-20251218-080616_uc11_p10_c30_m2000_r10_s256_DIRECT,0.0,0.0,,,
UC7_P10_C30,run-20251218-081020_uc11_p10_c30_m2000_r10_s256_DIRECT,170.7,0.2,853.5,853.5,853.5
UC7_P10_C30,run-20251218-081423_uc11_p10_c30_m2000_r10_s256_DIRECT,10.3,0.1,103.0,103.0,103.0
UC7_P50_C30,run-20251214-232000_uc11_p50_c30_m2000_r10_s256_DIRECT,2369.12,0.36,7397.1875,7397.1875,7397.1875
UC7_P50_C30,run-20251214-232408_uc11_p50_c30_m2000_r10_s256_DIRECT,88.52,0.48,174.58823529411765,196.64705882352942,196.64705882352942
UC7_P50_C30,run-20251214-232818_uc11_p50_c30_m2000_r10_s256_DIRECT,9.86,0.06,164.33333333333334,164.33333333333334,164.33333333333334
UC7_P50_C30,run-20251214-233226_uc11_p50_c30_m2000_r10_s256_DIRECT,11.66,0.16,83.0,83.0,83.0
UC7_P50_C30,run-20251214-233634_uc11_p50_c30_m2000_r10_s256_DIRECT,67.88,0.36,199.52941176470588,199.52941176470588,199.52941176470588
UC7_P50_C30,run-20251214-234043_uc11_p50_c30_m2000_r10_s256_DIRECT,33.02,0.24,137.11111111111111,159.66666666666666,159.66666666666666
UC7_P50_C30,run-20251214-234453_uc11_p50_c30_m2000_r10_s256_DIRECT,3356.48,0.22,16781.4,16781.4,16781.4
UC7_P50_C30,run-20251214-234902_uc11_p50_c30_m2000_r10_s256_DIRECT,519.5,0.34,704.6666666666666,2115.5833333333335,2115.5833333333335
UC7_P50_C30,run-20251214-235310_uc11_p50_c30_m2000_r10_s256_DIRECT,50.78,0.26,204.66666666666666,204.66666666666666,204.66666666666666
UC7_P50_C30,run-20251214-235718_uc11_p50_c30_m2000_r10_s256_DIRECT,27.16,0.18,150.88888888888889,150.88888888888889,150.88888888888889
UC8_P10_C30,run-20251218-133436_uc12_p10_c30_m2000_r10_s256_RELAY,82.4,0.1,824.0,824.0,824.0
UC8_P10_C30,run-20251218-133848_uc12_p10_c30_m2000_r10_s256_RELAY,10.6,0.1,106.0,106.0,106.0
UC8_P10_C30,run-20251218-134255_uc12_p10_c30_m2000_r10_s256_RELAY,40.3,0.1,403.0,403.0,403.0
UC8_P10_C30,run-20251218-134701_uc12_p10_c30_m2000_r10_s256_RELAY,267.9,0.1,2679.0,2679.0,2679.0
UC8_P10_C30,run-20251218-135109_uc12_p10_c30_m2000_r10_s256_RELAY,32.4,0.2,162.0,162.0,162.0
UC8_P10_C30,run-20251218-135515_uc12_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC8_P10_C30,run-20251218-135922_uc12_p10_c30_m2000_r10_s256_RELAY,74.7,0.1,747.0,747.0,747.0
UC8_P10_C30,run-20251218-140330_uc12_p10_c30_m2000_r10_s256_RELAY,75.4,0.2,377.0,377.0,377.0
UC8_P10_C30,run-20251218-140736_uc12_p10_c30_m2000_r10_s256_RELAY,201.0,0.2,1005.0,1005.0,1005.0
UC8_P10_C30,run-20251218-141142_uc12_p10_c30_m2000_r10_s256_RELAY,56.6,0.1,566.0,566.0,566.0
UC8_P50_C30,run-20251220-142308_uc12_p50_c30_m2000_r10_s256_RELAY,80.7,0.18,448.3333333333333,448.3333333333333,448.3333333333333
UC8_P50_C30,run-20251220-142721_uc12_p50_c30_m2000_r10_s256_RELAY,200.1,0.22,805.5,805.5,805.5
UC8_P50_C30,run-20251220-143133_uc12_p50_c30_m2000_r10_s256_RELAY,51.96,0.08,649.5,649.5,649.5
UC8_P50_C30,run-20251220-143545_uc12_p50_c30_m2000_r10_s256_RELAY,281.06,0.16,1905.142857142857,1905.142857142857,1905.142857142857
UC8_P50_C30,run-20251220-143957_uc12_p50_c30_m2000_r10_s256_RELAY,97.14,0.14,710.0,710.0,710.0
UC8_P50_C30,run-20251220-144411_uc12_p50_c30_m2000_r10_s256_RELAY,2126.6,0.4,7821.7692307692305,7905.615384615385,7905.615384615385
UC8_P50_C30,run-20251220-144823_uc12_p50_c30_m2000_r10_s256_RELAY,154.44,0.12,1383.0,1383.0,1383.0
UC8_P50_C30,run-20251220-145235_uc12_p50_c30_m2000_r10_s256_RELAY,60.9,0.16,414.14285714285717,414.14285714285717,414.14285714285717
UC8_P50_C30,run-20251220-145659_uc12_p50_c30_m2000_r10_s256_RELAY,83.68,0.1,836.8,836.8,836.8
UC8_P50_C30,run-20251220-150111_uc12_p50_c30_m2000_r10_s256_RELAY,572.28,0.4,1531.7222222222222,1531.7222222222222,1531.7222222222222
