uc,run,neighbour_down,neighbour_up
UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,3.1,6.0
UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,4.8,7.5
UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,3.2,6.1
UC7_P10_C30,run-20251218-075004_uc11_p10_c30_m2000_r10_s256_DIRECT,2.9,6.3
UC7_P10_C30,run-20251218-075406_uc11_p10_c30_m2000_r10_s256_DIRECT,4.0,6.8
UC7_P10_C30,run-20251218-075809_uc11_p10_c30_m2000_r10_s256_DIRECT,5.3,8.5
UC7_P10_C30,run-20251218-080213_uc11_p10_c30_m2000_r10_s256_DIRECT,4.8,7.0
UC7_P10_C30,run-20251218-080616_uc11_p10_c30_m2000_r10_s256_DIRECT,4.9,7.2
UC7_P10_C30,run-20251218-081020_uc11_p10_c30_m2000_r10_s256_DIRECT,3.8,7.2
UC7_P10_C30,run-20251218-081423_uc11_p10_c30_m2000_r10_s256_DIRECT,5.2,8.4
UC7_P50_C30,run-20251214-232000_uc11_p50_c30_m2000_r10_s256_DIRECT,17.96,20.82
UC7_P50_C30,run-20251214-232408_uc11_p50_c30_m2000_r10_s256_DIRECT,17.62,20.28
UC7_P50_C30,run-20251214-232818_uc11_p50_c30_m2000_r10_s256_DIRECT,18.9,21.66
UC7_P50_C30,run-20251214-233226_uc11_p50_c30_m2000_r10_s256_DIRECT,19.42,22.04
UC7_P50_C30,run-20251214-233634_uc11_p50_c30_m2000_r10_s256_DIRECT,18.44,21.36
UC7_P50_C30,run-20251214-234043_uc11_p50_c30_m2000_r10_s256_DIRECT,19.96,22.9
UC7_P50_C30,run-20251214-234453_uc11_p50_c30_m2000_r10_s256_DIRECT,17.6,20.64
UC7_P50_C30,run-20251214-234902_uc11_p50_c30_m2000_r10_s256_DIRECT,18.2,20.68
UC7_P50_C30,run-20251214-235310_uc11_p50_c30_m2000_r10_s256_DIRECT,19.94,22.94
UC7_P50_C30,run-20251214-235718_uc11_p50_c30_m2000_r10_s256_DIRECT,18.62,21.1
UC8_P10_C30,run-20251218-133436_uc12_p10_c30_m2000_r10_s256_RELAY,4.2,6.8
UC8_P10_C30,run-20251218-133848_uc12_p10_c30_m2000_r10_s256_RELAY,2.8,4.9
UC8_P10_C30,run-20251218-134255_uc12_p10_c30_m2000_r10_s256_RELAY,3.4,5.9
UC8_P10_C30,run-20251218-134701_uc12_p10_c30_m2000_r10_s256_RELAY,2.5,4.5
UC8_P10_C30,run-20251218-135109_uc12_p10_c30_m2000_r10_s256_RELAY,1.7,3.5
UC8_P10_C30,run-20251218-135515_uc12_p10_c30_m2000_r10_s256_RELAY,2.8,4.9
UC8_P10_C30,run-20251218-135922_uc12_p10_c30_m2000_r10_s256_RELAY,5.6,8.0
UC8_P10_C30,run-20251218-140330_uc12_p10_c30_m2000_r10_s256_RELAY,1.1,3.1
UC8_P10_C30,run-20251218-140736_uc12_p10_c30_m2000_r10_s256_RELAY,2.7,5.3
UC8_P10_C30,run-20251218-141142_uc12_p10_c30_m2000_r10_s256_RELAY,2.1,4.1
UC8_P50_C30,run-20251220-142308_uc12_p50_c30_m2000_r10_s256_RELAY,14.2,16.66
UC8_P50_C30,run-20251220-142721_uc12_p50_c30_m2000_r10_s256_RELAY,12.34,14.52
UC8_P50_C30,run-20251220-143133_uc12_p50_c30_m2000_r10_s256_RELAY,8.08,10.18
UC8_P50_C30,run-20251220-143545_uc12_p50_c30_m2000_r10_s256_RELAY,9.2,11.72
UC8_P50_C30,run-20251220-143957_uc12_p50_c30_m2000_r10_s256_RELAY,10.26,12.48
UC8_P50_C30,run-20251220-144411_uc12_p50_c30_m2000_r10_s256_RELAY,13.22,15.34
UC8_P50_C30,run-20251220-144823_uc12_p50_c30_m2000_r10_s256_RELAY,8.8,11.12
UC8_P50_C30,run-20251220-145235_uc12_p50_c30_m2000_r10_s256_RELAY,8.2,10.38
UC8_P50_C30,run-20251220-145659_uc12_p50_c30_m2000_r10_s256_RELAY,8.46,10.18
UC8_P50_C30,run-20251220-150111_uc12_p50_c30_m2000_r10_s256_RELAY,14.7,16.84
