received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined,churn_pct
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9884722132576003,0,0,,,,5,9,True,750,True,False,peer1,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1963,1963,2000,0.9815,0.0,0,80,0,33.0,131.0,1797.0,17206.0,18476.0,1.0,1.0,2.0,2.0,4.0,1.0,2.7193855936829876,0,0,,,,2,4,True,4288,True,False,peer10,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1988,1988,2000,0.994,0.0,0,311,0,41.0,343.0,753.0,1133.0,1575.0,0.0,2.0,3.0,3.0,4.0,1.0,3.2815166532012428,214,1,214.0,214.0,214.0,4,8,True,1803,True,False,peer2,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1988,1988,2000,0.994,0.0,0,214,0,35.0,106.0,289.0,408.0,609.0,0.0,1.0,1.0,3.0,5.0,1.0,3.260173356678123,1004,1,1004.0,1004.0,1004.0,3,5,True,1864,True,False,peer3,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1963,1963,2000,0.9815,0.0,0,171,0,36.0,106.0,316.0,539.0,868.0,1.0,1.0,2.0,2.0,4.0,1.0,3.786757086454084,0,0,,,,4,6,True,4302,True,False,peer4,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1978,1978,2000,0.989,0.0,0,355,0,41.0,351.0,743.0,1313.0,1880.0,1.0,2.0,3.0,4.0,4.0,1.0,3.601632465517092,0,0,,,,5,7,True,2768,True,False,peer5,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1942,1942,2000,0.971,0.0,0,113,0,34.0,106.0,406.0,9735.0,11994.0,1.0,1.0,1.0,2.0,3.0,1.0,2.856937991166179,0,0,,,,1,4,True,6373,True,False,peer6,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1998,1998,2000,0.999,0.0,0,203,0,35.0,118.0,331.0,10271.0,11981.0,0.0,1.0,2.0,3.0,4.0,1.0,3.8294402384089987,0,0,,,,2,6,True,779,True,False,peer7,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1996,1996,2000,0.998,0.0,0,129,0,35.0,105.0,310.0,589.0,781.0,0.0,0.0,2.0,3.0,4.0,1.0,4.290346564439325,0,0,,,,4,7,True,704,True,False,peer8,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1913,1913,2000,0.9565,0.0,0,229,0,35.0,102.0,286.0,432.0,526.0,0.0,1.0,1.0,2.0,3.0,1.0,3.6468509888458547,0,0,,,,1,4,True,9396,True,False,peer9,UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1998,1998,2000,0.999,0.0,0,240,0,0.0,102.0,232.0,345.0,1139.0,0.0,1.0,1.0,2.0,3.0,1.0,3.820073665616552,0,0,,,,9,13,True,798,True,False,peer1,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1996,1996,2000,0.998,0.0,0,187,0,30.0,128.0,313.0,523.0,940.0,0.0,0.0,2.0,3.0,4.0,1.0,3.4145824994512517,0,0,,,,2,5,True,795,True,False,peer10,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1973,1973,2000,0.9865,0.0,0,211,0,34.0,152.0,322.0,519.0,1357.0,0.0,0.0,2.0,3.0,4.0,1.0,3.3797592579726254,0,0,,,,6,9,True,3022,True,False,peer2,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1970,1970,2000,0.985,0.0,0,388,0,85.0,273.0,863.0,14493.0,16517.0,1.0,2.0,2.0,4.0,5.0,1.0,2.982192897206037,0,0,,,,2,5,True,4085,True,False,peer3,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1974,1974,2000,0.987,0.0,0,236,0,37.0,152.0,317.0,465.0,584.0,0.0,0.0,2.0,3.0,4.0,1.0,4.574189601915802,0,0,,,,4,7,True,3004,True,False,peer4,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1970,1970,2000,0.985,0.0,0,225,0,30.0,138.0,457.0,10837.0,12359.0,0.0,0.0,2.0,3.0,5.0,1.0,3.0090963902797077,0,0,,,,3,6,True,4209,True,False,peer5,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1953,1953,2000,0.9765,0.0,0,207,0,38.0,141.0,310.0,479.0,697.0,0.0,0.0,2.0,3.0,5.0,1.0,4.060226071612639,0,0,,,,4,7,True,4135,True,False,peer6,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1996,1996,2000,0.998,0.0,0,207,0,36.0,134.0,306.0,494.0,1327.0,0.0,0.0,2.0,3.0,4.0,1.0,2.4484062529541686,0,0,,,,5,6,True,715,True,False,peer7,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1973,1973,2000,0.9865,0.0,0,168,0,35.0,180.0,5961.0,20020.0,21610.0,0.0,0.0,1.0,3.0,5.0,1.0,1.9922341282559923,4261,2,3158.0,3158.0,3158.0,8,9,True,3025,True,False,peer8,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1970,1970,2000,0.985,0.0,0,312,0,81.0,247.0,456.0,723.0,1243.0,1.0,2.0,2.0,3.0,5.0,1.0,3.1587316108402925,0,0,,,,5,8,True,4078,True,False,peer9,UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
2000,2000,2000,1.0,0.0,0,218,0,0.0,105.0,258.0,383.0,512.0,0.0,1.0,1.0,2.0,3.0,1.0,3.9840862378851596,0,0,,,,5,9,True,810,True,False,peer1,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1988,1988,2000,0.994,0.0,0,174,0,34.0,122.0,313.0,507.0,665.0,0.0,0.0,2.0,2.0,3.0,1.0,3.936346939216491,0,0,,,,0,4,True,1764,True,False,peer10,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1978,1978,2000,0.989,0.0,0,331,0,83.0,404.0,854.0,1382.0,2457.0,1.0,3.0,3.0,4.0,5.0,1.0,2.6547514506603305,1034,1,1034.0,1034.0,1034.0,4,6,True,2871,True,False,peer2,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1952,1952,2000,0.976,0.0,0,248,0,81.0,255.0,459.0,673.0,916.0,1.0,2.0,3.0,4.0,4.0,1.0,3.034652986583672,0,0,,,,2,4,True,5643,True,False,peer3,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1960,1960,2000,0.98,0.0,0,221,0,38.0,201.0,481.0,10259.0,11576.0,0.0,2.0,2.0,3.0,4.0,1.0,3.6330497273355915,0,0,,,,4,8,True,4626,True,False,peer4,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1945,1945,2000,0.9725,0.0,0,267,0,72.0,256.0,476.0,692.0,922.0,1.0,2.0,3.0,4.0,5.0,1.0,3.1999735227924626,0,0,,,,1,4,True,6630,True,False,peer5,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1987,1987,2000,0.9935,0.0,0,234,0,39.0,362.0,1608.0,10703.0,11621.0,0.0,1.0,3.0,4.0,5.0,1.0,3.7830806630597644,0,0,,,,5,6,True,1720,True,False,peer6,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1988,1988,2000,0.994,0.0,0,199,0,36.0,120.0,306.0,480.0,706.0,0.0,0.0,2.0,3.0,4.0,1.0,3.9186109838432213,0,0,,,,4,8,True,1793,True,False,peer7,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
1998,1998,2000,0.999,0.0,0,149,0,35.0,139.0,1607.0,11065.0,12019.0,0.0,0.0,2.0,4.0,6.0,1.0,3.0049474069134634,0,0,,,,5,6,True,721,True,False,peer8,UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,True,30
