uc,run,joined_ratio,saw_test_ratio
UC7_P10_C30,run-20251218-073749_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-074156_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-074559_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-075004_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-075406_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-075809_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-080213_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-080616_uc11_p10_c30_m2000_r10_s256_DIRECT,0.9,0.9
UC7_P10_C30,run-20251218-081020_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P10_C30,run-20251218-081423_uc11_p10_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P50_C30,run-20251214-232000_uc11_p50_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P50_C30,run-20251214-232408_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-232818_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-233226_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-233634_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-234043_uc11_p50_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P50_C30,run-20251214-234453_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-234902_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC7_P50_C30,run-20251214-235310_uc11_p50_c30_m2000_r10_s256_DIRECT,1.0,1.0
UC7_P50_C30,run-20251214-235718_uc11_p50_c30_m2000_r10_s256_DIRECT,0.98,0.98
UC8_P10_C30,run-20251218-133436_uc12_p10_c30_m2000_r10_s256_RELAY,0.9,0.9
UC8_P10_C30,run-20251218-133848_uc12_p10_c30_m2000_r10_s256_RELAY,0.8,0.8
UC8_P10_C30,run-20251218-134255_uc12_p10_c30_m2000_r10_s256_RELAY,0.9,0.9
UC8_P10_C30,run-20251218-134701_uc12_p10_c30_m2000_r10_s256_RELAY,0.7,0.7
UC8_P10_C30,run-20251218-135109_uc12_p10_c30_m2000_r10_s256_RELAY,0.7,0.7
UC8_P10_C30,run-20251218-135515_uc12_p10_c30_m2000_r10_s256_RELAY,0.8,0.8
UC8_P10_C30,run-20251218-135922_uc12_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC8_P10_C30,run-20251218-140330_uc12_p10_c30_m2000_r10_s256_RELAY,0.7,0.7
UC8_P10_C30,run-20251218-140736_uc12_p10_c30_m2000_r10_s256_RELAY,0.8,0.8
UC8_P10_C30,run-20251218-141142_uc12_p10_c30_m2000_r10_s256_RELAY,0.7,0.7
UC8_P50_C30,run-20251220-142308_uc12_p50_c30_m2000_r10_s256_RELAY,0.88,0.88
UC8_P50_C30,run-20251220-142721_uc12_p50_c30_m2000_r10_s256_RELAY,0.78,0.78
UC8_P50_C30,run-20251220-143133_uc12_p50_c30_m2000_r10_s256_RELAY,0.66,0.66
UC8_P50_C30,run-20251220-143545_uc12_p50_c30_m2000_r10_s256_RELAY,0.8,0.8
UC8_P50_C30,run-20251220-143957_uc12_p50_c30_m2000_r10_s256_RELAY,0.78,0.78
UC8_P50_C30,run-20251220-144411_uc12_p50_c30_m2000_r10_s256_RELAY,0.76,0.76
UC8_P50_C30,run-20251220-144823_uc12_p50_c30_m2000_r10_s256_RELAY,0.72,0.72
UC8_P50_C30,run-20251220-145235_uc12_p50_c30_m2000_r10_s256_RELAY,0.68,0.68
UC8_P50_C30,run-20251220-145659_uc12_p50_c30_m2000_r10_s256_RELAY,0.6,0.6
UC8_P50_C30,run-20251220-150111_uc12_p50_c30_m2000_r10_s256_RELAY,0.82,0.82
