uc,run,convergence_time_ms,convergence_time_s
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,202347.0,202.347
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,202406.0,202.406
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,202507.66666666666,202.50766666666667
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,202616.6,202.6166
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,202399.5,202.3995
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,202369.0,202.369
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,202398.0,202.398
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,202832.57142857142,202.8325714285714
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,202757.0,202.757
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,202889.0,202.889
UC1_P20,run-20251130-200226_uc1_p20_m2000_r10_s256_DIRECT,,
UC1_P20,run-20251130-200609_uc1_p20_m2000_r10_s256_DIRECT,,
UC1_P20,run-20251130-200946_uc1_p20_m2000_r10_s256_DIRECT,202707.0,202.707
UC1_P20,run-20251130-201326_uc1_p20_m2000_r10_s256_DIRECT,202773.25,202.77325
UC1_P20,run-20251130-201706_uc1_p20_m2000_r10_s256_DIRECT,202713.0,202.713
UC1_P20,run-20251130-202042_uc1_p20_m2000_r10_s256_DIRECT,202621.2,202.62120000000002
UC1_P20,run-20251130-202424_uc1_p20_m2000_r10_s256_DIRECT,202833.0,202.833
UC1_P20,run-20251130-202800_uc1_p20_m2000_r10_s256_DIRECT,202650.2,202.6502
UC1_P20,run-20251130-203145_uc1_p20_m2000_r10_s256_DIRECT,,
UC1_P20,run-20251130-203224_uc1_p20_m2000_r10_s256_DIRECT,202666.88888888888,202.66688888888888
UC1_P30,run-20251130-205419_uc1_p30_m2000_r10_s256_DIRECT,,
UC1_P30,run-20251130-205501_uc1_p30_m2000_r10_s256_DIRECT,202656.0,202.656
UC1_P30,run-20251130-205841_uc1_p30_m2000_r10_s256_DIRECT,202635.57142857142,202.6355714285714
UC1_P30,run-20251130-210224_uc1_p30_m2000_r10_s256_DIRECT,202538.875,202.538875
UC1_P30,run-20251130-210604_uc1_p30_m2000_r10_s256_DIRECT,202599.0,202.599
UC1_P30,run-20251130-210943_uc1_p30_m2000_r10_s256_DIRECT,,
UC1_P30,run-20251130-211024_uc1_p30_m2000_r10_s256_DIRECT,,
UC1_P30,run-20251130-211105_uc1_p30_m2000_r10_s256_DIRECT,202672.8,202.6728
UC1_P30,run-20251130-211442_uc1_p30_m2000_r10_s256_DIRECT,,
UC1_P30,run-20251130-211819_uc1_p30_m2000_r10_s256_DIRECT,202659.0,202.659
UC1_P40,run-20251130-212343_uc1_p40_m2000_r10_s256_DIRECT,202556.0,202.556
UC1_P40,run-20251130-212723_uc1_p40_m2000_r10_s256_DIRECT,,
UC1_P40,run-20251130-212806_uc1_p40_m2000_r10_s256_DIRECT,202562.3,202.5623
UC1_P40,run-20251130-213147_uc1_p40_m2000_r10_s256_DIRECT,,
UC1_P40,run-20251130-213229_uc1_p40_m2000_r10_s256_DIRECT,202578.55555555556,202.57855555555557
UC1_P40,run-20251130-213612_uc1_p40_m2000_r10_s256_DIRECT,,
UC1_P40,run-20251130-213655_uc1_p40_m2000_r10_s256_DIRECT,,
UC1_P40,run-20251130-213738_uc1_p40_m2000_r10_s256_DIRECT,202523.0,202.523
UC1_P40,run-20251130-214121_uc1_p40_m2000_r10_s256_DIRECT,202554.0,202.554
UC1_P40,run-20251130-214508_uc1_p40_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-214557_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,202528.0,202.528
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,202446.55555555556,202.44655555555556
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,202498.0,202.498
UC1_P50,run-20251130-220138_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220222_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,202560.0,202.56
UC1_P50,run-20251130-220655_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220739_uc1_p50_m2000_r10_s256_DIRECT,,
