uc,run,join_wait_ms_joined_only
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,1429.4
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,719.6
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,2979.9
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,2928.3
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,4848.8
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,3800.9
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,8040.1
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,3744.5
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,2166.5
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,1414.1
UC1_P20,run-20251130-200226_uc1_p20_m2000_r10_s256_DIRECT,7534.1
UC1_P20,run-20251130-200609_uc1_p20_m2000_r10_s256_DIRECT,2113.55
UC1_P20,run-20251130-200946_uc1_p20_m2000_r10_s256_DIRECT,5278.4
UC1_P20,run-20251130-201326_uc1_p20_m2000_r10_s256_DIRECT,5250.15
UC1_P20,run-20251130-201706_uc1_p20_m2000_r10_s256_DIRECT,701.25
UC1_P20,run-20251130-202042_uc1_p20_m2000_r10_s256_DIRECT,7067.4
UC1_P20,run-20251130-202424_uc1_p20_m2000_r10_s256_DIRECT,1433.05
UC1_P20,run-20251130-202800_uc1_p20_m2000_r10_s256_DIRECT,9760.7
UC1_P20,run-20251130-203224_uc1_p20_m2000_r10_s256_DIRECT,1406.15
UC1_P30,run-20251130-205501_uc1_p30_m2000_r10_s256_DIRECT,3516.633333333333
UC1_P30,run-20251130-205841_uc1_p30_m2000_r10_s256_DIRECT,6086.233333333334
UC1_P30,run-20251130-210224_uc1_p30_m2000_r10_s256_DIRECT,3745.266666666667
UC1_P30,run-20251130-210604_uc1_p30_m2000_r10_s256_DIRECT,2805.866666666667
UC1_P30,run-20251130-211105_uc1_p30_m2000_r10_s256_DIRECT,702.4
UC1_P30,run-20251130-211442_uc1_p30_m2000_r10_s256_DIRECT,675.7
UC1_P30,run-20251130-211819_uc1_p30_m2000_r10_s256_DIRECT,4286.933333333333
UC1_P40,run-20251130-212343_uc1_p40_m2000_r10_s256_DIRECT,1399.85
UC1_P40,run-20251130-212806_uc1_p40_m2000_r10_s256_DIRECT,2884.675
UC1_P40,run-20251130-213229_uc1_p40_m2000_r10_s256_DIRECT,5136.05
UC1_P40,run-20251130-213738_uc1_p40_m2000_r10_s256_DIRECT,5743.275
UC1_P40,run-20251130-214121_uc1_p40_m2000_r10_s256_DIRECT,8239.25
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,9855.46
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,1354.9
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,714.64
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,5740.04
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,8903.58
