uc,run,join_wait_ms_joined_only
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,1429.4
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,719.6
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,2979.9
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,2928.3
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,4848.8
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,3800.9
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,8040.1
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,3744.5
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,2166.5
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,1414.1
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,9855.46
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,1354.9
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,714.64
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,5740.04
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,8903.58
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,134.5
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,134.8
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,124.1
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,132.9
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,126.4
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,133.0
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,123.4
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,115.3
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,124.0
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,111.9
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,81.38
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,423.82
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,800.08
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,531.24
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,1072.56
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,254.96
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,73.98
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,812.86
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,1076.14
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,1082.78
