uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined
UC1_P30,run-20251130-205419_uc1_p30_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.066666666666,0.0
UC1_P30,run-20251130-205501_uc1_p30_m2000_r10_s256_DIRECT,0.9995833333333334,0.0,1999.1666666666667,1999.1666666666667,2000.0,0.0,0.0,0.0,1.0,1.6,1.9666666666666666,2.4,1.3,1.4,1.4333333333333333,1.4333333333333333,1.5,202656.0,1.0,7595.565217391304,7597.913043478261,7597.913043478261,7597.913043478261,5.0,4.9,0.8333333333333334,3516.633333333333,1.0
UC1_P30,run-20251130-205841_uc1_p30_m2000_r10_s256_DIRECT,0.9996166666666667,0.0,1999.2333333333333,1999.2333333333333,2000.0,0.0,0.0,0.03333333333333333,1.1,1.5333333333333334,2.0,3.6,1.4333333333333333,1.8666666666666667,1.8666666666666667,1.8666666666666667,1.8666666666666667,202635.57142857142,1.0,55.0,56.875,56.875,56.875,4.566666666666666,4.2,0.5666666666666667,6086.233333333334,1.0
UC1_P30,run-20251130-210224_uc1_p30_m2000_r10_s256_DIRECT,0.9996333333333334,0.0,1999.2666666666667,1999.2666666666667,2000.0,0.0,0.0,0.03333333333333333,1.1666666666666667,1.8,2.0,4.366666666666666,1.8,2.3666666666666667,2.3666666666666667,2.3666666666666667,2.4,202538.875,1.0,8270.333333333334,8271.761904761905,8271.761904761905,8271.761904761905,5.066666666666666,5.0,0.7333333333333333,3745.266666666667,1.0
UC1_P30,run-20251130-210604_uc1_p30_m2000_r10_s256_DIRECT,0.9662666666666666,0.0,1932.5333333333333,1932.5333333333333,2000.0,0.0,0.0,0.1,1.0666666666666667,1.5333333333333334,1.9,2.433333333333333,1.6333333333333333,1.7,1.7666666666666666,1.7666666666666666,1.8,202599.0,1.0,11487.8,11487.8,11487.8,11487.8,5.033333333333333,4.966666666666667,0.6666666666666666,2805.866666666667,1.0
UC1_P30,run-20251130-210943_uc1_p30_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.333333333332,0.0
UC1_P30,run-20251130-211024_uc1_p30_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.333333333332,0.0
UC1_P30,run-20251130-211105_uc1_p30_m2000_r10_s256_DIRECT,0.9996666666666667,0.0,1999.3333333333333,1999.3333333333333,2000.0,0.0,0.0,0.03333333333333333,1.0666666666666667,1.6,1.9,7.233333333333333,1.7,1.9333333333333333,1.9333333333333333,1.9333333333333333,2.033333333333333,202672.8,1.0,3756.8125,3761.5625,3761.5625,3761.5625,5.733333333333333,5.4,0.6333333333333333,702.4,1.0
UC1_P30,run-20251130-211442_uc1_p30_m2000_r10_s256_DIRECT,0.9995,0.0,1999.0,1999.0,2000.0,0.0,0.0,0.06666666666666667,1.0666666666666667,1.6,1.8666666666666667,2.433333333333333,2.066666666666667,2.066666666666667,2.1666666666666665,2.1666666666666665,2.1666666666666665,,1.0,73.29411764705883,73.29411764705883,73.29411764705883,73.29411764705883,4.966666666666667,4.666666666666667,0.5666666666666667,675.7,1.0
UC1_P30,run-20251130-211819_uc1_p30_m2000_r10_s256_DIRECT,0.9995166666666667,0.0,1999.0333333333333,1999.0333333333333,2000.0,0.0,0.0,0.0,1.0333333333333334,1.6,1.9666666666666666,2.3333333333333335,1.3333333333333333,1.4666666666666666,1.5333333333333334,1.5333333333333334,1.5333333333333334,202659.0,1.0,3537.125,3537.125,3537.125,3537.125,5.433333333333334,5.133333333333334,0.5333333333333333,4286.933333333333,1.0
UC2_P30,run-20251130-235924_uc2_p30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.5666666666666667,1.8666666666666667,5.4,1.7,1.7333333333333334,1.7333333333333334,1.7333333333333334,3.1333333333333333,202612.1,1.0,13558.130434782608,14921.217391304348,14921.217391304348,14921.217391304348,4.633333333333334,4.466666666666667,0.9,72.86666666666666,1.0
