uc,run,convergence_time_ms,convergence_time_s
UC1_P50,run-20251130-214557_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,202528.0,202.528
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,202446.55555555556,202.44655555555556
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,202498.0,202.498
UC1_P50,run-20251130-220138_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220222_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,202560.0,202.56
UC1_P50,run-20251130-220655_uc1_p50_m2000_r10_s256_DIRECT,,
UC1_P50,run-20251130-220739_uc1_p50_m2000_r10_s256_DIRECT,,
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,202424.84,202.42484
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,202380.38,202.38038
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,202498.54,202.49854000000002
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,202399.62,202.39962
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,202509.66,202.50966
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,202566.38,202.56638
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,202405.68,202.40568
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,202487.7,202.48770000000002
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,202469.38,202.46938
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,202499.14,202.49914
