uc,run,join_wait_ms_joined_only
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,9855.46
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,1354.9
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,714.64
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,5740.04
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,8903.58
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,81.38
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,423.82
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,800.08
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,531.24
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,1072.56
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,254.96
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,73.98
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,812.86
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,1076.14
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,1082.78
