uc,run,reconnect_samples_joined_only
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,0.62
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,0.7
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,0.68
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,0.56
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,0.6
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,0.54
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,0.7
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,0.62
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,0.68
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,0.6
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,0.62
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,0.74
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,0.64
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,0.68
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,0.74
