received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,joined_numeric
1976,1976,2000,0.988,0.0,0,0,0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,0,0,0,True,15124,True,False,peer1,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,,1.0,50.0,50.0,50.0,50.0,4,4,1,True,9600,True,False,peer10,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,1,1,0,True,9668,True,False,peer11,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,2.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,,1.0,,,,,7,6,0,True,9671,True,False,peer12,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,2.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,,1.0,,,,,1,1,0,True,9659,True,False,peer13,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,,1.0,958.0,958.0,958.0,958.0,3,3,1,True,9642,True,False,peer14,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,,1.0,48.0,48.0,48.0,48.0,4,4,1,True,9669,True,False,peer15,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,,1.0,52.0,52.0,52.0,52.0,5,5,1,True,9648,True,False,peer16,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,57.0,57.0,57.0,57.0,5,5,1,True,9643,True,False,peer17,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,,1.0,93.0,93.0,93.0,93.0,2,2,1,True,9625,True,False,peer18,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,1.0,2.0,2.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,,1.0,,,,,3,2,0,True,9651,True,False,peer19,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
0,0,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,False,30001,False,True,peer2,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,0
1999,1999,2000,0.9995,0.0,0,0,0,0.0,2.0,2.0,3.0,6.0,2.0,5.0,5.0,5.0,5.0,,1.0,,,,,1,1,0,True,9656,True,False,peer20,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,50.0,50.0,50.0,50.0,9,8,1,True,9614,True,False,peer21,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,3,2,0,True,9644,True,False,peer22,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,3,2,0,True,9627,True,False,peer23,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,50424.0,50424.0,50424.0,50424.0,7,7,1,True,9611,True,False,peer24,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,,1.0,21.0,21.0,21.0,21.0,4,4,1,True,9626,True,False,peer25,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,67.0,67.0,67.0,67.0,6,6,1,True,9616,True,False,peer26,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,5,4,0,True,9617,True,False,peer27,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,3.0,,1.0,50432.0,50432.0,50432.0,50432.0,3,3,1,True,9607,True,False,peer28,UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,1
