uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,total_peers,joined_peers,not_joined_peers
UC1,run-20251130-032048_uc1_p50_m2000_r10_s256_DIRECT,0.9193100000000001,0.0,1838.62,1838.62,1840.0,0.0,0.0,0.15217391304347827,1.173913043478261,1.7173913043478262,2.217391304347826,10.630434782608695,2.1739130434782608,2.260869565217391,2.347826086956522,2.347826086956522,2.347826086956522,,1.0,3562.655172413793,3564.0,3564.0,3564.0,5.18,4.9,0.62,10211.56,50,48,2
UC1,run-20251130-032440_uc1_p50_m2000_r10_s256_DIRECT,0.9390900000000001,0.0,1878.18,1878.18,1920.0,0.0,0.0,0.875,1.9583333333333333,2.4375,4.083333333333333,83.75,2.0,2.2083333333333335,2.2083333333333335,2.2083333333333335,5.8125,202271.15555555557,1.0,3269.7619047619046,2777.1428571428573,8380.261904761905,8380.261904761905,10.16,9.9,1.36,4885.12,50,48,2
UC1,run-20251130-032827_uc1_p50_m2000_r10_s256_DIRECT,0.89947,0.0,1798.94,1798.94,1840.0,0.0,0.0,0.8260869565217391,1.8695652173913044,2.5,2.9130434782608696,23.695652173913043,1.391304347826087,2.4347826086956523,2.4347826086956523,2.608695652173913,5.217391304347826,202263.88888888888,1.0,3221.9347826086955,3878.3260869565215,7691.565217391304,7691.565217391304,14.3,14.1,2.06,4087.82,50,49,1
UC1,run-20251130-033953_uc1_p50_m2000_r10_s256_DIRECT,0.95935,0.0,1918.7,1918.7,1920.0,0.0,0.0,0.10416666666666667,1.25,1.7291666666666667,2.3125,27.791666666666668,1.1458333333333333,2.625,2.6666666666666665,2.6666666666666665,3.7916666666666665,202237.16666666666,1.0,6745.787234042553,9748.63829787234,9757.234042553191,9757.234042553191,14.0,13.7,2.02,6117.34,50,48,2
UC1,run-20251130-035512_uc1_p50_m2000_r10_s256_DIRECT,0.49875,0.0,997.5,997.5,1000.0,0.0,0.0,0.0,0.92,1.24,1.96,12.24,1.28,1.48,1.68,2.4,4.6,202270.5652173913,1.0,8382.714285714286,11163.52380952381,11173.42857142857,11173.42857142857,11.1,10.66,0.7,963.88,50,50,0
UC2,run-20251130-023618_uc2_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.38,1.26,1.82,2.26,3.62,3.26,3.36,3.42,3.42,3.7,202344.54,1.0,20814.16129032258,20814.16129032258,20814.16129032258,20814.16129032258,4.24,3.94,0.62,988.6,50,50,0
UC2,run-20251130-024021_uc2_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.36,1.36,1.72,2.2,4.62,2.7,2.76,2.8,2.8,3.52,202501.1,1.0,7726.03125,7763.59375,7763.59375,7763.59375,4.62,4.32,0.66,676.16,50,50,0
UC2,run-20251130-024416_uc2_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.34,1.3,1.76,2.24,4.46,2.48,2.48,2.64,2.64,3.44,202324.72,1.0,6323.2,6431.4,6431.4,6431.4,4.44,3.98,0.56,1154.66,50,50,0
UC2,run-20251130-024810_uc2_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.32,1.3,1.78,2.14,3.88,2.3,2.32,2.4,2.4,3.18,202417.3,1.0,8015.25,10137.07142857143,10137.07142857143,10137.07142857143,4.36,3.94,0.62,1046.66,50,50,0
UC2,run-20251130-025204_uc2_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.26,1.28,1.8,2.26,3.6,2.54,2.54,2.54,2.54,3.32,202272.18,1.0,13551.033333333333,13583.866666666667,13583.866666666667,13583.866666666667,4.9,4.5,0.62,1170.84,50,50,0
