uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only,join_wait_ms_joined_only
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.0,1.7,2.0,0.7,0.7,0.8,0.8,0.8,202782.7,1.0,3.5,3.5,3.5,3.5,1.8,1.7,0.2,134.5,1.0,1.0,1.0,202.7827,1.0,0.2,134.5
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.6,1.7,0.9,0.9,0.9,0.9,1.5,202704.6,1.0,1945.4285714285713,2557.285714285714,2557.285714285714,2557.285714285714,2.4,2.4,1.0,134.8,1.0,1.0,1.0,202.7046,1.0,1.0,134.8
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.5,2.0,0.7,0.7,0.7,0.7,1.4,202702.5,1.0,2159.285714285714,2159.285714285714,2159.285714285714,2159.285714285714,2.3,2.2,0.7,124.1,1.0,1.0,1.0,202.7025,1.0,0.7,124.1
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.3,1.7,1.8,1.0,1.0,1.0,1.0,1.5,202769.3,1.0,6099.285714285715,10369.285714285714,10369.285714285714,10369.285714285714,2.9,2.9,1.0,132.9,1.0,1.0,1.0,202.7693,1.0,1.0,132.9
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.3,1.8,1.8,1.0,1.1,1.3,1.3,1.5,202892.0,1.0,2970.25,2970.25,2970.25,2970.25,1.4,1.4,0.4,126.4,1.0,1.0,1.0,202.892,1.0,0.4,126.4
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.8,1.9,0.7,0.9,1.1,1.1,1.5,202883.1,1.0,38413.0,38413.0,38413.0,38413.0,1.7,1.5,0.5,133.0,1.0,1.0,1.0,202.8831,1.0,0.5,133.0
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.4,1.8,1.9,1.1,1.1,1.5,1.5,2.0,202908.7,1.0,9667.666666666666,9667.666666666666,9667.666666666666,9667.666666666666,2.8,2.8,0.9,123.4,1.0,1.0,1.0,202.9087,1.0,0.9,123.4
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.3,1.8,10.5,0.9,0.9,1.3,1.3,1.5,202801.2,1.0,16855.5,17213.0,17213.0,17213.0,1.8,1.5,0.5,115.3,1.0,1.0,1.0,202.80120000000002,1.0,0.5,115.3
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.6,1.9,0.8,0.8,0.8,0.8,1.8,202735.0,1.0,2819.625,3001.25,3001.25,3001.25,3.8,3.7,0.9,124.0,1.0,1.0,1.0,202.735,1.0,0.9,124.0
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.0,1.3,1.6,10.6,1.0,1.0,1.0,1.0,1.5,202744.0,1.0,52167.0,52391.57142857143,52391.57142857143,52391.57142857143,2.4,2.3,0.8,111.9,1.0,1.0,1.0,202.744,1.0,0.8,111.9
