uc,run,reconnect_samples_joined_only
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,1.4
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,1.4
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,1.9
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,1.6
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,1.8
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,2.2
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,2.1
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,1.7
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,2.4
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,2.0
UC3_P20,run-20251201-181107_uc3_p20_m2000_r10_s256_DIRECT,4.052631578947368
UC3_P20,run-20251201-181456_uc3_p20_m2000_r10_s256_DIRECT,4.2631578947368425
UC3_P20,run-20251201-181845_uc3_p20_m2000_r10_s256_DIRECT,4.3
UC3_P20,run-20251201-182236_uc3_p20_m2000_r10_s256_DIRECT,4.7
UC3_P20,run-20251201-182624_uc3_p20_m2000_r10_s256_DIRECT,3.9375
UC3_P20,run-20251201-183013_uc3_p20_m2000_r10_s256_DIRECT,4.25
UC3_P20,run-20251201-183403_uc3_p20_m2000_r10_s256_DIRECT,5.388888888888889
UC3_P20,run-20251201-183753_uc3_p20_m2000_r10_s256_DIRECT,4.0588235294117645
UC3_P20,run-20251201-184141_uc3_p20_m2000_r10_s256_DIRECT,3.7222222222222223
UC3_P20,run-20251201-184530_uc3_p20_m2000_r10_s256_DIRECT,4.947368421052632
UC3_P30,run-20251201-185016_uc3_p30_m2000_r10_s256_DIRECT,5.592592592592593
UC3_P30,run-20251201-185409_uc3_p30_m2000_r10_s256_DIRECT,5.888888888888889
UC3_P30,run-20251201-185801_uc3_p30_m2000_r10_s256_DIRECT,4.724137931034483
UC3_P30,run-20251201-190154_uc3_p30_m2000_r10_s256_DIRECT,4.333333333333333
UC3_P30,run-20251201-190546_uc3_p30_m2000_r10_s256_DIRECT,5.333333333333333
UC3_P30,run-20251201-190940_uc3_p30_m2000_r10_s256_DIRECT,5.407407407407407
UC3_P30,run-20251201-191333_uc3_p30_m2000_r10_s256_DIRECT,4.814814814814815
UC3_P30,run-20251201-191725_uc3_p30_m2000_r10_s256_DIRECT,5.758620689655173
UC3_P30,run-20251201-192118_uc3_p30_m2000_r10_s256_DIRECT,5.407407407407407
UC3_P30,run-20251201-192511_uc3_p30_m2000_r10_s256_DIRECT,5.071428571428571
UC3_P40,run-20251201-193019_uc3_p40_m2000_r10_s256_DIRECT,6.864864864864865
UC3_P40,run-20251201-193416_uc3_p40_m2000_r10_s256_DIRECT,5.942857142857143
UC3_P40,run-20251201-193812_uc3_p40_m2000_r10_s256_DIRECT,6.416666666666667
UC3_P40,run-20251201-194209_uc3_p40_m2000_r10_s256_DIRECT,5.675675675675675
UC3_P40,run-20251201-194605_uc3_p40_m2000_r10_s256_DIRECT,5.871794871794871
UC3_P40,run-20251201-195002_uc3_p40_m2000_r10_s256_DIRECT,6.592592592592593
UC3_P40,run-20251201-195358_uc3_p40_m2000_r10_s256_DIRECT,5.6923076923076925
UC3_P40,run-20251201-195755_uc3_p40_m2000_r10_s256_DIRECT,6.675675675675675
UC3_P40,run-20251201-200151_uc3_p40_m2000_r10_s256_DIRECT,6.633333333333334
UC3_P40,run-20251201-200548_uc3_p40_m2000_r10_s256_DIRECT,5.552631578947368
UC3_P50,run-20251201-201129_uc3_p50_m2000_r10_s256_DIRECT,5.470588235294118
UC3_P50,run-20251201-201529_uc3_p50_m2000_r10_s256_DIRECT,5.3478260869565215
UC3_P50,run-20251201-201929_uc3_p50_m2000_r10_s256_DIRECT,6.371428571428571
UC3_P50,run-20251201-202329_uc3_p50_m2000_r10_s256_DIRECT,6.25
UC3_P50,run-20251201-202729_uc3_p50_m2000_r10_s256_DIRECT,6.0212765957446805
UC3_P50,run-20251201-203129_uc3_p50_m2000_r10_s256_DIRECT,6.488372093023256
UC3_P50,run-20251201-203529_uc3_p50_m2000_r10_s256_DIRECT,6.739130434782608
UC3_P50,run-20251201-203929_uc3_p50_m2000_r10_s256_DIRECT,5.647058823529412
UC3_P50,run-20251201-204333_uc3_p50_m2000_r10_s256_DIRECT,5.7631578947368425
UC3_P50,run-20251201-204734_uc3_p50_m2000_r10_s256_DIRECT,6.054054054054054
