uc,total_runs,mean_delivery_rate,std_delivery_rate,min_rate,max_rate
UC5_P10_C10,10,0.98964,0.03165453100795105,0.89955,0.99975
UC5_P10_C20,10,0.9996450000000001,8.644201653261748e-05,0.9995,0.9998000000000001
UC5_P10_C30,10,0.999685,0.0001313392553655929,0.9995499999999999,1.0
UC5_P20_C10,9,0.9934333333333334,0.01654979229476916,0.949325,0.9995
UC5_P20_C20,10,0.9990531578947369,0.0007189409146662863,0.9977,0.9996499999999999
UC5_P20_C30,9,0.9991336257309942,0.00082781331970105,0.9977,1.0
UC5_P30_C10,10,0.9786835057471265,0.027949158409695418,0.93215,0.9995
UC5_P30_C20,9,0.9836256568144499,0.018165606663778037,0.9638392857142858,0.99965
UC5_P30_C30,10,0.9719512643678161,0.026049437232603473,0.9323833333333333,0.9987758620689655
UC5_P40_C10,10,0.9811889486450014,0.02119470101098047,0.9469078947368421,0.9999864864864865
UC5_P40_C20,10,0.9858387031768612,0.013810883768460925,0.9721184210526316,0.9995540540540541
UC5_P40_C30,9,0.9758619433198381,0.01562252198842621,0.9469210526315791,0.9990394736842106
UC5_P50_C10,10,0.9825307209759483,0.008961432420438318,0.9777717391304348,0.9995425531914894
UC5_P50_C20,10,0.9908739602605612,0.014656553864102168,0.9576354166666667,1.0
UC5_P50_C30,10,0.9823729795375596,0.0160326347940736,0.9574574468085106,0.9995212765957446
