uc,run,out_of_order
UC5_P10_C10,run-20251216-210334_uc5_p10_c10_m2000_r10_s256_DIRECT,6.5
UC5_P10_C10,run-20251216-210736_uc5_p10_c10_m2000_r10_s256_DIRECT,2.5
UC5_P10_C10,run-20251216-211138_uc5_p10_c10_m2000_r10_s256_DIRECT,0.0
UC5_P10_C10,run-20251216-211539_uc5_p10_c10_m2000_r10_s256_DIRECT,6.5
UC5_P10_C10,run-20251216-211945_uc5_p10_c10_m2000_r10_s256_DIRECT,0.0
UC5_P10_C10,run-20251216-212346_uc5_p10_c10_m2000_r10_s256_DIRECT,6.5
UC5_P10_C10,run-20251216-212747_uc5_p10_c10_m2000_r10_s256_DIRECT,6.5
UC5_P10_C10,run-20251216-213153_uc5_p10_c10_m2000_r10_s256_DIRECT,0.0
UC5_P10_C10,run-20251216-213554_uc5_p10_c10_m2000_r10_s256_DIRECT,6.5
UC5_P10_C10,run-20251216-213957_uc5_p10_c10_m2000_r10_s256_DIRECT,0.0
UC5_P10_C20,run-20251216-200130_uc5_p10_c20_m2000_r10_s256_DIRECT,0.0
UC5_P10_C20,run-20251216-200531_uc5_p10_c20_m2000_r10_s256_DIRECT,6.5
UC5_P10_C20,run-20251216-200936_uc5_p10_c20_m2000_r10_s256_DIRECT,7.6
UC5_P10_C20,run-20251216-201338_uc5_p10_c20_m2000_r10_s256_DIRECT,13.0
UC5_P10_C20,run-20251216-201740_uc5_p10_c20_m2000_r10_s256_DIRECT,13.1
UC5_P10_C20,run-20251216-202146_uc5_p10_c20_m2000_r10_s256_DIRECT,13.2
UC5_P10_C20,run-20251216-202548_uc5_p10_c20_m2000_r10_s256_DIRECT,0.0
UC5_P10_C20,run-20251216-202950_uc5_p10_c20_m2000_r10_s256_DIRECT,6.5
UC5_P10_C20,run-20251216-203351_uc5_p10_c20_m2000_r10_s256_DIRECT,2.2
UC5_P10_C20,run-20251216-203753_uc5_p10_c20_m2000_r10_s256_DIRECT,0.0
UC5_P10_C30,run-20251216-191716_uc5_p10_c30_m2000_r10_s256_DIRECT,0.0
UC5_P10_C30,run-20251216-192121_uc5_p10_c30_m2000_r10_s256_DIRECT,6.2
UC5_P10_C30,run-20251216-192523_uc5_p10_c30_m2000_r10_s256_DIRECT,13.1
UC5_P10_C30,run-20251216-192925_uc5_p10_c30_m2000_r10_s256_DIRECT,13.1
UC5_P10_C30,run-20251216-193329_uc5_p10_c30_m2000_r10_s256_DIRECT,16.1
UC5_P10_C30,run-20251216-193731_uc5_p10_c30_m2000_r10_s256_DIRECT,6.2
UC5_P10_C30,run-20251216-194134_uc5_p10_c30_m2000_r10_s256_DIRECT,13.0
UC5_P10_C30,run-20251216-194535_uc5_p10_c30_m2000_r10_s256_DIRECT,13.0
UC5_P10_C30,run-20251216-194937_uc5_p10_c30_m2000_r10_s256_DIRECT,10.3
UC5_P10_C30,run-20251216-195340_uc5_p10_c30_m2000_r10_s256_DIRECT,19.5
UC5_P20_C10,run-20251216-171111_uc5_p20_c10_m2000_r10_s256_DIRECT,3.25
UC5_P20_C10,run-20251216-171515_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0
UC5_P20_C10,run-20251216-171921_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0
UC5_P20_C10,run-20251216-172326_uc5_p20_c10_m2000_r10_s256_DIRECT,3.3
UC5_P20_C10,run-20251216-172729_uc5_p20_c10_m2000_r10_s256_DIRECT,6.6
UC5_P20_C10,run-20251216-173134_uc5_p20_c10_m2000_r10_s256_DIRECT,0.35
UC5_P20_C10,run-20251216-173536_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0
UC5_P20_C10,run-20251216-173945_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0
UC5_P20_C10,run-20251216-174324_uc5_p20_c10_m2000_r10_s256_DIRECT,0.0
UC5_P20_C10,run-20251216-174735_uc5_p20_c10_m2000_r10_s256_DIRECT,1.7
UC5_P20_C20,run-20251216-175334_uc5_p20_c20_m2000_r10_s256_DIRECT,4.85
UC5_P20_C20,run-20251216-175739_uc5_p20_c20_m2000_r10_s256_DIRECT,11.45
UC5_P20_C20,run-20251216-180142_uc5_p20_c20_m2000_r10_s256_DIRECT,9.85
