uc,avg_joined_ratio,std_joined_ratio,min_joined_ratio,max_joined_ratio,avg_saw_test_ratio,std_saw_test_ratio,min_saw_test_ratio,max_saw_test_ratio,runs_with_full_join,runs_with_any_miss,total_runs,valid_runs
UC5_P10_C10,1.0,0.0,1.0,1.0,0.99,0.03162277660168379,0.9,1.0,10,0,10,10
UC5_P10_C20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10,0,10,10
UC5_P10_C30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10,0,10,10
UC5_P20_C10,0.9944444444444444,0.016666666666666687,0.95,1.0,0.9888888888888889,0.022047927592204954,0.95,1.0,8,1,10,9
UC5_P20_C20,0.9800000000000001,0.025819888974716137,0.95,1.0,0.9800000000000001,0.025819888974716137,0.95,1.0,6,4,10,10
UC5_P20_C30,0.9888888888888889,0.022047927592204947,0.95,1.0,0.9888888888888889,0.022047927592204947,0.95,1.0,7,2,10,9
UC5_P30_C10,0.99,0.022498285257018424,0.9333333333333333,1.0,0.9766666666666668,0.027442420078285495,0.9333333333333333,1.0,8,2,10,10
UC5_P30_C20,0.9592592592592593,0.022222222222222223,0.9333333333333333,1.0,0.9555555555555555,0.023570226039551587,0.9333333333333333,1.0,1,8,10,9
UC5_P30_C30,0.9866666666666667,0.017213259316477415,0.9666666666666667,1.0,0.9666666666666666,0.02222222222222221,0.9333333333333333,1.0,6,4,10,10
UC5_P40_C10,0.96,0.024152294576982397,0.925,1.0,0.95,0.02357022603955156,0.925,0.975,1,9,10,10
UC5_P40_C20,0.95,0.020412414523193118,0.925,0.975,0.9375,0.027003086243366056,0.9,0.975,0,10,10,10
UC5_P40_C30,0.9583333333333334,0.017677669529663705,0.95,1.0,0.9444444444444444,0.02429563289518873,0.925,1.0,1,8,10,9
UC5_P50_C10,0.942,0.014757295747452439,0.92,0.96,0.9259999999999999,0.013498971154211007,0.9,0.94,0,10,10,10
UC5_P50_C20,0.938,0.017511900715418208,0.92,0.96,0.93,0.019436506316150994,0.9,0.96,0,10,10,10
UC5_P50_C30,0.958,0.014757295747452421,0.94,0.98,0.944,0.0157762127549323,0.92,0.98,0,10,10,10
