uc,run,avg_connected_peers
UC5_P10_C30,run-20251216-191716_uc5_p10_c30_m2000_r10_s256_DIRECT,4.453004917813034
UC5_P10_C30,run-20251216-192121_uc5_p10_c30_m2000_r10_s256_DIRECT,4.174602067239702
UC5_P10_C30,run-20251216-192523_uc5_p10_c30_m2000_r10_s256_DIRECT,4.399845739719028
UC5_P10_C30,run-20251216-192925_uc5_p10_c30_m2000_r10_s256_DIRECT,4.09966466193912
UC5_P10_C30,run-20251216-193329_uc5_p10_c30_m2000_r10_s256_DIRECT,3.921801292422515
UC5_P10_C30,run-20251216-193731_uc5_p10_c30_m2000_r10_s256_DIRECT,4.0998621023780135
UC5_P10_C30,run-20251216-194134_uc5_p10_c30_m2000_r10_s256_DIRECT,3.746322154817027
UC5_P10_C30,run-20251216-194535_uc5_p10_c30_m2000_r10_s256_DIRECT,4.0986840527799036
UC5_P10_C30,run-20251216-194937_uc5_p10_c30_m2000_r10_s256_DIRECT,3.9980768364161
UC5_P10_C30,run-20251216-195340_uc5_p10_c30_m2000_r10_s256_DIRECT,4.099848336261745
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9379940631409798
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9793460944913157
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,4.050422619260554
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,3.8880814154429637
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,4.167140040102635
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9370301094787856
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,3.9600599273477513
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,4.0369643320327295
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,4.003090258662731
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,3.955732943418735
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,3.274882977799649
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,3.930337327939165
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,3.875720306954084
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,3.8192784707178555
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,0.0
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,3.3768092252224826
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,3.999084793763669
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,3.7936982875553817
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C30,run-20251214-181233_uc6_p50_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,3.6818648102257985
UC6_P50_C30,run-20251214-182047_uc6_p50_c30_m2000_r10_s256_RELAY,3.80740586089947
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,3.698076958839677
UC6_P50_C30,run-20251214-182900_uc6_p50_c30_m2000_r10_s256_RELAY,2.7807934205623543
UC6_P50_C30,run-20251214-183256_uc6_p50_c30_m2000_r10_s256_RELAY,3.2938459076122792
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,3.888887409943229
UC6_P50_C30,run-20251214-184110_uc6_p50_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C30,run-20251214-184505_uc6_p50_c30_m2000_r10_s256_RELAY,3.741905244451154
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,3.3550522666473865
