uc,run,pr_avg_ratio
UC5_P10_C30,run-20251216-191716_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-192121_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-192523_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-192925_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-193329_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-193731_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-194134_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-194535_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-194937_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P10_C30,run-20251216-195340_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,1.0
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-181233_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-182047_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-182900_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-183256_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-184110_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-184505_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,1.0
