uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC5_P10_C30,run-20251216-191716_uc5_p10_c30_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,30.0,0.0,1.0,1.5,2433.9,3045.9,0.8,1.2,1.4,1.6,2.3,1.0,4.453004917813034,0.0,0.0,,,,4.0,7.7,5541.2,1.0,1.0,1.0,1.0
UC5_P10_C30,run-20251216-192121_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9998000000000001,0.0,1999.6,1999.6,2000.0,0.0,6.2,30.0,0.0,1.0,1.3,2446.9,3059.7,0.4,1.2,1.3,1.6,1.6,1.0,4.174602067239702,0.0,0.0,,,,3.8,7.3,1190.6,1.0,1.0,1.0,0.9998000000000001
UC5_P10_C30,run-20251216-192523_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,13.1,30.0,0.0,1.0,1.2,2449.0,3063.3,0.4,0.7,0.7,1.0,1.2,1.0,4.399845739719028,0.1,0.1,1.0,1.0,1.0,4.2,7.2,1991.2,1.0,1.0,1.0,0.9997
UC5_P10_C30,run-20251216-192925_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,13.1,30.0,0.0,1.0,1.0,2450.6,3074.1,0.4,0.7,0.8,1.0,1.1,1.0,4.09966466193912,0.0,0.0,,,,3.9,7.4,3664.2,1.0,1.0,1.0,0.9997
UC5_P10_C30,run-20251216-193329_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9996,0.0,1999.2,1999.2,2000.0,0.0,16.1,30.0,0.0,1.0,1.0,2428.9,3040.7,0.5,0.7,0.7,0.8,0.8,1.0,3.921801292422515,0.2,0.1,2.0,2.0,2.0,3.5,7.2,2031.9,1.0,1.0,1.0,0.9996
UC5_P10_C30,run-20251216-193731_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9995499999999999,0.0,1999.1,1999.1,2000.0,0.0,6.2,30.0,0.0,1.0,1.2,2439.4,3037.2,0.6,0.8,0.8,0.8,0.8,1.0,4.0998621023780135,0.3,0.1,3.0,3.0,3.0,3.6,7.2,2728.5,1.0,1.0,1.0,0.9995499999999999
UC5_P10_C30,run-20251216-194134_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,13.0,30.0,0.0,1.0,1.6,2431.3,3178.2,0.7,1.1,1.3,1.9,2.1,1.0,3.746322154817027,0.3,0.2,1.5,1.5,1.5,2.2,5.8,1249.0,1.0,1.0,1.0,0.9996500000000001
UC5_P10_C30,run-20251216-194535_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,13.0,30.0,0.0,1.0,1.3,2426.7,3041.2,0.5,0.9,0.9,1.0,1.1,1.0,4.0986840527799036,0.2,0.1,2.0,2.0,2.0,2.9,6.7,1959.0,1.0,1.0,1.0,0.9996500000000001
UC5_P10_C30,run-20251216-194937_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9996,0.0,1999.2,1999.2,2000.0,0.0,10.3,30.0,0.0,1.0,1.2,2445.7,3052.0,0.7,0.8,0.8,1.1,1.3,1.0,3.9980768364161,0.5,0.1,5.0,5.0,5.0,4.2,7.0,2018.4,1.0,1.0,1.0,0.9996
UC5_P10_C30,run-20251216-195340_uc5_p10_c30_m2000_r10_s256_DIRECT,0.9996,0.0,1999.2,1999.2,2000.0,0.0,19.5,30.0,0.0,1.0,1.4,2440.0,3065.9,0.7,1.2,1.2,1.3,1.4,1.0,4.099848336261745,0.1,0.1,1.0,1.0,1.0,4.1,7.8,5319.7,1.0,1.0,1.0,0.9996
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,0.93887,0.0,1877.74,1877.74,1880.0,0.0,19.4,30.0,0.0,0.9148936170212766,1.7659574468085106,2715.3617021276596,3399.1702127659573,1.0425531914893618,2.2127659574468086,2.617021276595745,3.9574468085106385,4.382978723404255,1.0,3.9379940631409798,0.72,0.04,18.0,18.0,18.0,20.88,23.94,4883.08,1.0,0.98,0.94,0.9580306122448979
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,0.93955,0.0,1879.1,1879.1,1880.0,0.0,6.16,30.0,0.06382978723404255,1.2127659574468086,1.851063829787234,2874.255319148936,3605.744680851064,1.702127659574468,3.6595744680851063,4.170212765957447,4.9787234042553195,5.553191489361702,1.0,3.9793460944913157,0.16,0.06,2.6666666666666665,2.6666666666666665,2.6666666666666665,11.14,14.24,16437.16,1.0,0.94,0.94,0.9995212765957446
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,0.9393300000000001,0.0,1878.66,1878.66,1880.0,0.0,9.52,30.0,0.0425531914893617,1.0425531914893618,1.851063829787234,2895.851063829787,3626.446808510638,1.3404255319148937,2.4680851063829787,3.851063829787234,4.914893617021277,6.340425531914893,1.0,4.050422619260554,0.06,0.02,3.0,3.0,3.0,16.42,19.62,11719.86,1.0,0.96,0.94,0.9784687500000001
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,0.9394000000000001,0.0,1878.8,1878.8,1880.0,0.0,15.08,30.0,0.0851063829787234,1.0851063829787233,1.702127659574468,2711.8936170212764,3395.744680851064,1.4680851063829787,3.0638297872340425,3.5106382978723403,3.6595744680851063,4.574468085106383,1.0,3.8880814154429637,0.5,0.06,8.333333333333334,8.333333333333334,8.333333333333334,17.22,20.24,8973.62,1.0,0.96,0.94,0.9785416666666668
