uc,run,convergence_time_ms,convergence_time_s
UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,202751.0,202.751
UC5_P10,run-20251201-223823_uc5_p10_m2000_r10_s256_DIRECT,202838.0,202.838
UC5_P10,run-20251201-224157_uc5_p10_m2000_r10_s256_DIRECT,202817.0,202.817
UC5_P10,run-20251201-224536_uc5_p10_m2000_r10_s256_DIRECT,202559.0,202.559
UC5_P10,run-20251201-224909_uc5_p10_m2000_r10_s256_DIRECT,202435.0,202.435
UC5_P10,run-20251201-225247_uc5_p10_m2000_r10_s256_DIRECT,,
UC5_P10,run-20251201-225630_uc5_p10_m2000_r10_s256_DIRECT,202549.4,202.5494
UC5_P10,run-20251201-230006_uc5_p10_m2000_r10_s256_DIRECT,202620.0,202.62
UC5_P10,run-20251201-230343_uc5_p10_m2000_r10_s256_DIRECT,202642.0,202.642
UC5_P10,run-20251201-230719_uc5_p10_m2000_r10_s256_DIRECT,202716.0,202.716
UC5_P20,run-20251202-003634_uc5_p20_m2000_r10_s256_DIRECT,202680.0,202.68
UC5_P20,run-20251202-004021_uc5_p20_m2000_r10_s256_DIRECT,202666.0,202.666
UC5_P20,run-20251202-004403_uc5_p20_m2000_r10_s256_DIRECT,,
UC5_P20,run-20251202-004457_uc5_p20_m2000_r10_s256_DIRECT,202752.0,202.752
UC5_P20,run-20251202-004833_uc5_p20_m2000_r10_s256_DIRECT,202636.4,202.63639999999998
UC5_P20,run-20251202-005214_uc5_p20_m2000_r10_s256_DIRECT,202659.0,202.659
UC5_P20,run-20251202-005553_uc5_p20_m2000_r10_s256_DIRECT,202637.33333333334,202.63733333333334
UC5_P20,run-20251202-005933_uc5_p20_m2000_r10_s256_DIRECT,202632.33333333334,202.63233333333335
UC5_P20,run-20251202-010316_uc5_p20_m2000_r10_s256_DIRECT,202698.66666666666,202.69866666666667
UC5_P20,run-20251202-010654_uc5_p20_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,202527.75,202.52775
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,202417.83333333334,202.41783333333333
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,202389.8,202.38979999999998
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,202257.0,202.257
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,,
