uc,run,delivery_rate_joined_only
UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,0.9906500000000001
UC5_P10,run-20251201-223823_uc5_p10_m2000_r10_s256_DIRECT,0.9820500000000001
UC5_P10,run-20251201-224157_uc5_p10_m2000_r10_s256_DIRECT,0.96125
UC5_P10,run-20251201-224536_uc5_p10_m2000_r10_s256_DIRECT,0.8998000000000002
UC5_P10,run-20251201-224909_uc5_p10_m2000_r10_s256_DIRECT,0.9902000000000001
UC5_P10,run-20251201-225247_uc5_p10_m2000_r10_s256_DIRECT,0.9859
UC5_P10,run-20251201-225630_uc5_p10_m2000_r10_s256_DIRECT,0.9842500000000001
UC5_P10,run-20251201-230006_uc5_p10_m2000_r10_s256_DIRECT,0.97875
UC5_P10,run-20251201-230343_uc5_p10_m2000_r10_s256_DIRECT,0.9685
UC5_P10,run-20251201-230719_uc5_p10_m2000_r10_s256_DIRECT,0.9644
UC5_P20,run-20251202-003634_uc5_p20_m2000_r10_s256_DIRECT,0.9996500000000001
UC5_P20,run-20251202-004021_uc5_p20_m2000_r10_s256_DIRECT,0.999525
UC5_P20,run-20251202-004457_uc5_p20_m2000_r10_s256_DIRECT,0.9496
UC5_P20,run-20251202-004833_uc5_p20_m2000_r10_s256_DIRECT,0.999625
UC5_P20,run-20251202-005214_uc5_p20_m2000_r10_s256_DIRECT,0.999525
UC5_P20,run-20251202-005553_uc5_p20_m2000_r10_s256_DIRECT,0.9947250000000001
UC5_P20,run-20251202-005933_uc5_p20_m2000_r10_s256_DIRECT,0.9996500000000001
UC5_P20,run-20251202-010316_uc5_p20_m2000_r10_s256_DIRECT,0.972575
UC5_P20,run-20251202-010654_uc5_p20_m2000_r10_s256_DIRECT,0.0
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,0.99958
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,0.0
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,0.99956
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,0.9737399999999999
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,0.97953
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,0.9795100000000001
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,0.0
