uc,run,pr_avg_ratio
UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-223823_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-224157_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-224536_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-224909_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-225247_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-225630_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-230006_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-230343_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P10,run-20251201-230719_uc5_p10_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-003634_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-004021_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-004403_uc5_p20_m2000_r10_s256_DIRECT,
UC5_P20,run-20251202-004457_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-004833_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-005214_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-005553_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-005933_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-010316_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P20,run-20251202-010654_uc5_p20_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,1.0
