received_unique,recv_total,total_expected,delivery_rate,duplicate_rate,duplicates,out_of_order,lagged_events,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,joined,join_wait_ms,saw_test,timed_out_no_data,peer,uc,run,sender_joined
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,202751.0,1.0,93.0,93.0,93.0,93.0,18,17,1,True,8662,True,False,peer1,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,202751.0,1.0,9189.0,9189.0,9189.0,9189.0,6,6,1,True,8391,True,False,peer10,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,88.0,88.0,88.0,88.0,4,4,1,True,8392,True,False,peer2,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
2000,2000,2000,1.0,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,202751.0,1.0,16.0,16.0,16.0,16.0,5,5,1,True,8392,True,False,peer3,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1909,1909,2000,0.9545,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,4,3,0,True,2562,True,False,peer4,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1909,1909,2000,0.9545,0.0,0,0,0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1,1,0,True,2563,True,False,peer5,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,,7,6,0,True,8395,True,False,peer6,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,2,2,0,True,8395,True,False,peer7,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,55.0,86.0,86.0,86.0,4,4,2,True,8393,True,False,peer8,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
1999,1999,2000,0.9995,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,52.0,87.0,87.0,87.0,6,6,2,True,8393,True,False,peer9,UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,True
