uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,0.9906500000000001,0.0,1981.3,1981.3,2000.0,0.0,0.0,0.0,1.0,1.4,1.6,1.7,0.4,1.0,1.0,1.0,1.0,202751.0,1.0,1582.1666666666667,1593.1666666666667,1593.1666666666667,1593.1666666666667,5.7,5.4,0.8,7253.8,1.0,1.0,1.0,202.751,0.9906500000000001,0.8
UC5_P10,run-20251201-223823_uc5_p10_m2000_r10_s256_DIRECT,0.9820500000000001,0.0,1964.1,1964.1,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,1.9,0.3,0.6,0.6,0.6,0.8,202838.0,1.0,149.75,244.875,244.875,244.875,4.2,3.9,1.2,1795.9,1.0,1.0,1.0,202.838,0.9820500000000001,1.2
UC5_P10,run-20251201-224157_uc5_p10_m2000_r10_s256_DIRECT,0.96125,0.0,1922.5,1922.5,2000.0,0.0,0.0,0.0,1.0,1.4,1.7,2.0,0.9,1.1,1.1,1.1,1.1,202817.0,1.0,98.375,161.75,161.75,161.75,5.3,4.9,1.0,5501.8,1.0,1.0,1.0,202.817,0.96125,1.0
UC5_P10,run-20251201-224536_uc5_p10_m2000_r10_s256_DIRECT,0.8998000000000002,0.0,1799.6,1799.6,2000.0,0.0,0.0,0.1,1.0,1.0,1.4,2.7,0.4,0.4,0.4,0.4,0.7,202559.0,1.0,76.14285714285714,76.14285714285714,76.14285714285714,76.14285714285714,4.0,3.7,0.7,482.3,1.0,1.0,1.0,202.559,0.8998000000000002,0.7
UC5_P10,run-20251201-224909_uc5_p10_m2000_r10_s256_DIRECT,0.9902000000000001,0.0,1980.4,1980.4,2000.0,0.0,0.0,0.0,1.0,1.0,1.8,2.5,0.6,1.2,1.2,1.2,1.2,202435.0,1.0,73.5,79.25,79.25,79.25,6.1,5.8,1.1,5029.9,1.0,1.0,1.0,202.435,0.9902000000000001,1.1
UC5_P10,run-20251201-225247_uc5_p10_m2000_r10_s256_DIRECT,0.9859,0.0,1971.8,1971.8,2000.0,0.0,0.0,0.0,1.0,1.0,1.6,19.3,0.5,0.7,0.7,0.9,0.9,,1.0,78.44444444444444,96.22222222222223,96.22222222222223,96.22222222222223,5.4,5.3,1.6,9734.5,1.0,1.0,1.0,,0.9859,1.6
UC5_P10,run-20251201-225630_uc5_p10_m2000_r10_s256_DIRECT,0.9842500000000001,0.0,1968.5,1968.5,2000.0,0.0,0.0,0.0,1.0,1.3,1.7,2.9,0.5,1.3,1.3,1.3,1.4,202549.4,1.0,2293.0,2304.4285714285716,2304.4285714285716,2304.4285714285716,4.6,4.3,0.9,3660.4,1.0,1.0,1.0,202.5494,0.9842500000000001,0.9
UC5_P10,run-20251201-230006_uc5_p10_m2000_r10_s256_DIRECT,0.97875,0.0,1957.5,1957.5,2000.0,0.0,0.0,0.0,1.0,1.3,1.6,2.3,0.4,0.9,0.9,0.9,1.1,202620.0,1.0,45.9,66.2,66.2,66.2,4.8,4.8,1.5,4912.0,1.0,1.0,1.0,202.62,0.97875,1.5
UC5_P10,run-20251201-230343_uc5_p10_m2000_r10_s256_DIRECT,0.9685,0.0,1937.0,1937.0,2000.0,0.0,0.0,0.0,1.0,1.2,1.6,10.5,0.4,0.9,0.9,0.9,0.9,202642.0,1.0,34.0,34.0,34.0,34.0,5.0,4.9,0.9,4699.9,1.0,1.0,1.0,202.642,0.9685,0.9
UC5_P10,run-20251201-230719_uc5_p10_m2000_r10_s256_DIRECT,0.9644,0.0,1928.8,1928.8,2000.0,0.0,0.0,0.0,1.0,1.3,1.8,2.1,1.0,1.1,1.1,1.1,1.1,202716.0,1.0,6306.444444444444,6306.888888888889,6306.888888888889,6306.888888888889,4.5,4.3,1.2,2343.4,1.0,1.0,1.0,202.716,0.9644,1.2
UC5_P20,run-20251202-003634_uc5_p20_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.3,1.75,2.5,1.0,1.1,1.1,1.1,1.3,202680.0,1.0,16895.5,16898.35714285714,16898.35714285714,16898.35714285714,4.15,4.05,0.75,2622.65,1.0,1.0,1.0,202.68,0.9996500000000001,0.75
UC5_P20,run-20251202-004021_uc5_p20_m2000_r10_s256_DIRECT,0.999525,0.0,1999.05,1999.05,2000.0,0.0,0.0,0.0,1.0,1.35,1.75,2.35,1.2,1.4,1.4,1.4,1.4,202666.0,1.0,76.33333333333333,76.33333333333333,76.33333333333333,76.33333333333333,3.9,3.8,0.45,6963.6,1.0,1.0,1.0,202.666,0.999525,0.45
UC5_P20,run-20251202-004403_uc5_p20_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.4,0.0,0.0,0.0,,,
UC5_P20,run-20251202-004457_uc5_p20_m2000_r10_s256_DIRECT,0.9496,0.0,1899.2,1899.2,2000.0,0.0,0.0,0.1,1.05,1.35,1.75,2.1,1.05,1.05,1.15,1.15,1.2,202752.0,1.0,102.8125,102.8125,102.8125,102.8125,4.45,4.45,0.8,1208.65,1.0,1.0,1.0,202.752,0.9496,0.8
UC5_P20,run-20251202-004833_uc5_p20_m2000_r10_s256_DIRECT,0.999625,0.0,1999.25,1999.25,2000.0,0.0,0.0,0.0,1.0,1.35,1.75,2.4,1.1,1.25,1.25,1.25,1.4,202636.4,1.0,28152.333333333332,28155.5,28155.5,28155.5,4.0,3.75,0.65,5716.65,1.0,1.0,1.0,202.63639999999998,0.999625,0.65
UC5_P20,run-20251202-005214_uc5_p20_m2000_r10_s256_DIRECT,0.999525,0.0,1999.05,1999.05,2000.0,0.0,0.0,0.0,1.0,1.45,1.85,3.1,1.3,1.45,1.45,1.45,1.45,202659.0,1.0,73.91666666666667,73.91666666666667,73.91666666666667,73.91666666666667,4.5,4.25,0.6,4158.9,1.0,1.0,1.0,202.659,0.999525,0.6
UC5_P20,run-20251202-005553_uc5_p20_m2000_r10_s256_DIRECT,0.9947250000000001,0.0,1989.45,1989.45,2000.0,0.0,0.0,0.0,1.0,1.7,1.9,2.15,0.8,1.4,1.4,1.7,1.8,202637.33333333334,1.0,5051.538461538462,5098.923076923077,5098.923076923077,5098.923076923077,5.6,5.4,0.85,4724.75,1.0,1.0,1.0,202.63733333333334,0.9947250000000001,0.85
UC5_P20,run-20251202-005933_uc5_p20_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.35,1.75,2.85,1.05,1.35,1.35,1.35,1.4,202632.33333333334,1.0,4349.461538461538,8636.615384615385,8636.615384615385,8636.615384615385,4.75,4.55,0.75,8641.4,1.0,1.0,1.0,202.63233333333335,0.9996500000000001,0.75
UC5_P20,run-20251202-010316_uc5_p20_m2000_r10_s256_DIRECT,0.972575,0.0,1945.15,1945.15,2000.0,0.0,0.0,0.0,1.0,1.55,1.9,2.8,1.3,1.6,1.6,1.65,1.65,202698.66666666666,1.0,33524.07142857143,33531.142857142855,33531.142857142855,33531.142857142855,5.6,5.4,1.05,3666.75,1.0,1.0,1.0,202.69866666666667,0.972575,1.05
UC5_P20,run-20251202-010654_uc5_p20_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,0.45,0.4,0.0,29737.6,0.0,0.05,0.0,,0.0,0.0
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.38,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,0.99958,0.0,1999.16,1999.16,2000.0,0.0,0.0,0.42,1.54,1.96,2.52,15.74,3.1,3.44,3.44,3.68,3.7,202527.75,1.0,4706.12,4706.72,4706.72,4706.72,5.16,4.94,0.52,3297.8,1.0,1.0,1.0,202.52775,0.99958,0.52
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,0.68,0.68,0.0,29905.46,0.0,0.02,0.0,,0.0,0.0
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.3,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.34,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,0.99956,0.0,1999.12,1999.12,2000.0,0.0,0.0,0.28,1.36,1.96,2.26,3.84,2.58,2.84,3.12,3.12,3.16,202417.83333333334,1.0,19302.09677419355,19303.483870967742,19303.483870967742,19303.483870967742,6.24,5.92,0.66,407.66,1.0,1.0,1.0,202.41783333333333,0.99956,0.66
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,0.9737399999999999,0.0,1947.48,1947.48,2000.0,0.0,0.0,0.44,1.64,2.4,3.16,16.6,2.32,2.92,3.02,3.34,4.24,202389.8,1.0,1929.4848484848485,2169.4848484848485,2170.0,2170.0,7.24,6.9,0.96,4965.02,1.0,1.0,1.0,202.38979999999998,0.9737399999999999,0.96
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,0.97953,0.0,1959.06,1959.06,2000.0,0.0,0.0,0.3,1.32,1.82,2.3,21.96,2.58,2.68,2.88,2.88,3.22,202257.0,1.0,7404.766666666666,7405.066666666667,7405.066666666667,7405.066666666667,6.22,6.0,0.64,6330.58,1.0,1.0,1.0,202.257,0.97953,0.64
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,0.9795100000000001,0.0,1959.02,1959.02,1960.0,0.0,0.0,0.22448979591836735,1.469387755102041,1.8775510204081634,2.3469387755102042,5.244897959183674,2.4081632653061225,2.5714285714285716,2.7346938775510203,2.7346938775510203,2.7346938775510203,,1.0,25579.68,25579.68,25579.68,25579.68,6.64,6.3,0.5,3223.3,1.0,1.0,0.98,,0.9795100000000001,0.5
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,0.72,0.72,0.0,29902.1,0.0,0.02,0.0,,0.0,0.0
