uc,run,delivery_rate_joined_only
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,0.99958
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,0.0
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,0.99956
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,0.9737399999999999
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,0.97953
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,0.9795100000000001
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,0.0
UC6_P50,run-20251201-234250_uc6_p50_m2000_r10_s256_RELAY,0.9848
UC6_P50,run-20251201-234640_uc6_p50_m2000_r10_s256_RELAY,0.9878100000000001
UC6_P50,run-20251201-235030_uc6_p50_m2000_r10_s256_RELAY,0.97712
UC6_P50,run-20251201-235420_uc6_p50_m2000_r10_s256_RELAY,0.9795100000000001
UC6_P50,run-20251201-235810_uc6_p50_m2000_r10_s256_RELAY,0.98229
UC6_P50,run-20251202-000159_uc6_p50_m2000_r10_s256_RELAY,0.9795100000000001
UC6_P50,run-20251202-000549_uc6_p50_m2000_r10_s256_RELAY,0.98071
UC6_P50,run-20251202-000939_uc6_p50_m2000_r10_s256_RELAY,0.9865200000000001
UC6_P50,run-20251202-001329_uc6_p50_m2000_r10_s256_RELAY,0.97982
UC6_P50,run-20251202-001719_uc6_p50_m2000_r10_s256_RELAY,0.97965
