uc,run,pr_avg_ratio
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,1.0
UC6_P50,run-20251201-234250_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251201-234640_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251201-235030_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251201-235420_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251201-235810_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251202-000159_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251202-000549_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251202-000939_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251202-001329_uc6_p50_m2000_r10_s256_RELAY,1.0
UC6_P50,run-20251202-001719_uc6_p50_m2000_r10_s256_RELAY,1.0
