uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.38,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,0.99958,0.0,1999.16,1999.16,2000.0,0.0,0.0,0.42,1.54,1.96,2.52,15.74,3.1,3.44,3.44,3.68,3.7,202527.75,1.0,4706.12,4706.72,4706.72,4706.72,5.16,4.94,0.52,3297.8,1.0,1.0,1.0,202.52775,0.99958,0.52
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,0.68,0.68,0.0,29905.46,0.0,0.02,0.0,,0.0,0.0
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.3,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,30001.34,0.0,0.0,0.0,,,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,0.99956,0.0,1999.12,1999.12,2000.0,0.0,0.0,0.28,1.36,1.96,2.26,3.84,2.58,2.84,3.12,3.12,3.16,202417.83333333334,1.0,19302.09677419355,19303.483870967742,19303.483870967742,19303.483870967742,6.24,5.92,0.66,407.66,1.0,1.0,1.0,202.41783333333333,0.99956,0.66
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,0.9737399999999999,0.0,1947.48,1947.48,2000.0,0.0,0.0,0.44,1.64,2.4,3.16,16.6,2.32,2.92,3.02,3.34,4.24,202389.8,1.0,1929.4848484848485,2169.4848484848485,2170.0,2170.0,7.24,6.9,0.96,4965.02,1.0,1.0,1.0,202.38979999999998,0.9737399999999999,0.96
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,0.97953,0.0,1959.06,1959.06,2000.0,0.0,0.0,0.3,1.32,1.82,2.3,21.96,2.58,2.68,2.88,2.88,3.22,202257.0,1.0,7404.766666666666,7405.066666666667,7405.066666666667,7405.066666666667,6.22,6.0,0.64,6330.58,1.0,1.0,1.0,202.257,0.97953,0.64
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,0.9795100000000001,0.0,1959.02,1959.02,1960.0,0.0,0.0,0.22448979591836735,1.469387755102041,1.8775510204081634,2.3469387755102042,5.244897959183674,2.4081632653061225,2.5714285714285716,2.7346938775510203,2.7346938775510203,2.7346938775510203,,1.0,25579.68,25579.68,25579.68,25579.68,6.64,6.3,0.5,3223.3,1.0,1.0,0.98,,0.9795100000000001,0.5
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,0.72,0.72,0.0,29902.1,0.0,0.02,0.0,,0.0,0.0
UC6_P50,run-20251201-234250_uc6_p50_m2000_r10_s256_RELAY,0.9848,0.0,1969.6,1969.6,2000.0,0.0,0.0,0.3,1.64,2.12,2.72,4.02,2.24,2.52,2.56,2.68,2.68,,1.0,4472.529411764706,4483.294117647059,4483.294117647059,4483.294117647059,6.82,6.5,0.94,90.12,1.0,1.0,1.0,,0.9848,0.94
UC6_P50,run-20251201-234640_uc6_p50_m2000_r10_s256_RELAY,0.9878100000000001,0.0,1975.62,1975.62,2000.0,0.0,0.0,0.54,1.74,2.2,2.68,48.48,2.78,4.9,4.92,4.98,5.5,,1.0,1451.1842105263158,1664.5,1668.1052631578948,1668.1052631578948,7.92,7.66,1.18,133.26,1.0,1.0,1.0,,0.9878100000000001,1.18
UC6_P50,run-20251201-235030_uc6_p50_m2000_r10_s256_RELAY,0.97712,0.0,1954.24,1954.24,2000.0,0.0,0.0,0.32,1.56,2.12,2.6,13.44,2.46,3.4,3.52,3.54,3.54,,1.0,19355.266666666666,21112.6,21112.6,21112.6,7.48,7.14,0.78,157.9,1.0,1.0,1.0,,0.97712,0.78
UC6_P50,run-20251201-235420_uc6_p50_m2000_r10_s256_RELAY,0.9795100000000001,0.0,1959.02,1959.02,1960.0,0.0,0.0,0.1836734693877551,1.2653061224489797,1.836734693877551,2.163265306122449,20.591836734693878,2.0408163265306123,2.2653061224489797,2.326530612244898,2.326530612244898,2.36734693877551,,1.0,12014.76,12015.44,12015.44,12015.44,5.96,5.7,0.54,141.66,1.0,1.0,0.98,,0.9795100000000001,0.54
UC6_P50,run-20251201-235810_uc6_p50_m2000_r10_s256_RELAY,0.98229,0.0,1964.58,1964.58,2000.0,0.0,0.0,0.48,1.72,2.46,2.76,25.96,3.26,3.7,3.7,4.76,6.94,202385.7894736842,1.0,12767.076923076924,17798.871794871793,17799.871794871793,17799.871794871793,7.5,7.24,1.18,112.76,1.0,1.0,1.0,202.3857894736842,0.98229,1.18
UC6_P50,run-20251202-000159_uc6_p50_m2000_r10_s256_RELAY,0.9795100000000001,0.0,1959.02,1959.02,1960.0,0.0,0.0,0.22448979591836735,1.2653061224489797,1.816326530612245,2.183673469387755,7.73469387755102,2.4081632653061225,2.4081632653061225,2.5306122448979593,2.5306122448979593,2.6122448979591835,,1.0,19505.90322580645,19506.90322580645,19506.90322580645,19506.90322580645,5.72,5.34,0.66,130.72,1.0,1.0,0.98,,0.9795100000000001,0.66
UC6_P50,run-20251202-000549_uc6_p50_m2000_r10_s256_RELAY,0.98071,0.0,1961.42,1961.42,2000.0,0.0,0.0,0.52,1.66,2.42,2.7,33.2,3.14,4.98,5.0,5.24,7.3,202310.23529411765,1.0,16423.76923076923,22104.641025641027,24798.17948717949,24798.17948717949,6.52,6.14,1.32,97.94,1.0,1.0,1.0,202.31023529411766,0.98071,1.32
UC6_P50,run-20251202-000939_uc6_p50_m2000_r10_s256_RELAY,0.9865200000000001,0.0,1973.04,1973.04,2000.0,0.0,0.0,0.36,1.62,2.3,2.7,25.02,2.26,3.96,4.22,4.32,4.94,202369.36,1.0,4591.815789473684,9158.184210526315,9159.052631578947,9159.052631578947,6.96,6.44,1.18,101.3,1.0,1.0,1.0,202.36935999999997,0.9865200000000001,1.18
UC6_P50,run-20251202-001329_uc6_p50_m2000_r10_s256_RELAY,0.97982,0.0,1959.64,1959.64,1960.0,0.0,0.0,0.1836734693877551,1.2857142857142858,1.8571428571428572,2.1020408163265305,13.183673469387756,2.183673469387755,2.5306122448979593,2.693877551020408,2.693877551020408,3.693877551020408,202550.64516129033,1.0,7345.939393939394,7354.090909090909,7354.090909090909,7354.090909090909,5.78,5.48,0.84,95.58,1.0,1.0,0.98,202.55064516129033,0.97982,0.84
UC6_P50,run-20251202-001719_uc6_p50_m2000_r10_s256_RELAY,0.97965,0.0,1959.3,1959.3,2000.0,0.0,0.0,0.22,1.28,1.8,2.1,9.66,2.1,2.3,2.42,2.42,2.76,202406.0,1.0,27625.27027027027,27628.675675675677,27628.675675675677,27628.675675675677,4.94,4.74,0.84,121.42,1.0,1.0,1.0,202.406,0.97965,0.84
