uc,run,avg_connected_peers
UC6_P10_C10,run-20251218-102459_uc6_p10_c10_m2000_r10_s256_RELAY,3.353193562256886
UC6_P10_C10,run-20251218-102904_uc6_p10_c10_m2000_r10_s256_RELAY,3.8490797599156794
UC6_P10_C10,run-20251218-103310_uc6_p10_c10_m2000_r10_s256_RELAY,4.032240292021129
UC6_P10_C10,run-20251218-103716_uc6_p10_c10_m2000_r10_s256_RELAY,4.399790543053655
UC6_P10_C10,run-20251218-104122_uc6_p10_c10_m2000_r10_s256_RELAY,3.995019214240145
UC6_P10_C10,run-20251218-104527_uc6_p10_c10_m2000_r10_s256_RELAY,4.093335384207865
UC6_P10_C10,run-20251218-104933_uc6_p10_c10_m2000_r10_s256_RELAY,3.637473245964935
UC6_P10_C10,run-20251218-105339_uc6_p10_c10_m2000_r10_s256_RELAY,3.801164433589802
UC6_P10_C10,run-20251218-105745_uc6_p10_c10_m2000_r10_s256_RELAY,3.5985793426230885
UC6_P10_C10,run-20251218-110150_uc6_p10_c10_m2000_r10_s256_RELAY,
UC6_P10_C20,run-20251218-112836_uc6_p10_c20_m2000_r10_s256_RELAY,3.5223557570531883
UC6_P10_C20,run-20251218-113251_uc6_p10_c20_m2000_r10_s256_RELAY,3.4998128721205175
UC6_P10_C20,run-20251218-113656_uc6_p10_c20_m2000_r10_s256_RELAY,3.8479277964182637
UC6_P10_C20,run-20251218-114102_uc6_p10_c20_m2000_r10_s256_RELAY,0.0
UC6_P10_C20,run-20251218-114445_uc6_p10_c20_m2000_r10_s256_RELAY,3.64723417364321
UC6_P10_C20,run-20251218-114850_uc6_p10_c20_m2000_r10_s256_RELAY,3.6121883845965415
UC6_P10_C20,run-20251218-115256_uc6_p10_c20_m2000_r10_s256_RELAY,4.1233164237091735
UC6_P10_C20,run-20251218-115702_uc6_p10_c20_m2000_r10_s256_RELAY,0.0
UC6_P10_C20,run-20251218-120045_uc6_p10_c20_m2000_r10_s256_RELAY,4.098492196746457
UC6_P10_C20,run-20251218-120450_uc6_p10_c20_m2000_r10_s256_RELAY,3.8204405758026247
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,3.274882977799649
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,3.930337327939165
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,3.875720306954084
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,3.8192784707178555
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,0.0
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,3.3768092252224826
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,3.999084793763669
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,3.7936982875553817
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C10,run-20251214-164654_uc6_p50_c10_m2000_r10_s256_RELAY,3.748976641378899
UC6_P50_C10,run-20251214-165116_uc6_p50_c10_m2000_r10_s256_RELAY,3.5078429257808734
UC6_P50_C10,run-20251214-165534_uc6_p50_c10_m2000_r10_s256_RELAY,3.7575446313202074
UC6_P50_C10,run-20251214-165953_uc6_p50_c10_m2000_r10_s256_RELAY,3.61930694429236
UC6_P50_C10,run-20251214-170410_uc6_p50_c10_m2000_r10_s256_RELAY,3.757471217734072
UC6_P50_C10,run-20251214-170829_uc6_p50_c10_m2000_r10_s256_RELAY,3.9825533618188746
UC6_P50_C10,run-20251214-171247_uc6_p50_c10_m2000_r10_s256_RELAY,3.680534249156392
UC6_P50_C10,run-20251214-171705_uc6_p50_c10_m2000_r10_s256_RELAY,3.5208891587187345
UC6_P50_C10,run-20251214-172123_uc6_p50_c10_m2000_r10_s256_RELAY,3.590978344257
UC6_P50_C10,run-20251214-172542_uc6_p50_c10_m2000_r10_s256_RELAY,3.742020137546291
UC6_P50_C20,run-20251214-173119_uc6_p50_c20_m2000_r10_s256_RELAY,3.6170128335793588
UC6_P50_C20,run-20251214-173538_uc6_p50_c20_m2000_r10_s256_RELAY,
UC6_P50_C20,run-20251214-173936_uc6_p50_c20_m2000_r10_s256_RELAY,3.6784519399412283
UC6_P50_C20,run-20251214-174354_uc6_p50_c20_m2000_r10_s256_RELAY,3.488023772310468
UC6_P50_C20,run-20251214-174749_uc6_p50_c20_m2000_r10_s256_RELAY,0.0
UC6_P50_C20,run-20251214-175145_uc6_p50_c20_m2000_r10_s256_RELAY,2.132733608081396
UC6_P50_C20,run-20251214-175540_uc6_p50_c20_m2000_r10_s256_RELAY,3.2788323688298324
UC6_P50_C20,run-20251214-175936_uc6_p50_c20_m2000_r10_s256_RELAY,2.9600572854391345
UC6_P50_C20,run-20251214-180331_uc6_p50_c20_m2000_r10_s256_RELAY,3.4659863943064937
UC6_P50_C20,run-20251214-180750_uc6_p50_c20_m2000_r10_s256_RELAY,3.3631626142528472
UC6_P50_C30,run-20251214-181233_uc6_p50_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,3.6818648102257985
UC6_P50_C30,run-20251214-182047_uc6_p50_c30_m2000_r10_s256_RELAY,3.80740586089947
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,3.698076958839677
UC6_P50_C30,run-20251214-182900_uc6_p50_c30_m2000_r10_s256_RELAY,2.7807934205623543
UC6_P50_C30,run-20251214-183256_uc6_p50_c30_m2000_r10_s256_RELAY,3.2938459076122792
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,3.888887409943229
UC6_P50_C30,run-20251214-184110_uc6_p50_c30_m2000_r10_s256_RELAY,0.0
UC6_P50_C30,run-20251214-184505_uc6_p50_c30_m2000_r10_s256_RELAY,3.741905244451154
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,3.3550522666473865
