uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC6_P10_C10,run-20251218-102459_uc6_p10_c10_m2000_r10_s256_RELAY,2.4,0.3,8.0,8.0,8.0
UC6_P10_C10,run-20251218-102904_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-103310_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.2,5.0,5.0,5.0
UC6_P10_C10,run-20251218-103716_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-104122_uc6_p10_c10_m2000_r10_s256_RELAY,0.4,0.1,4.0,4.0,4.0
UC6_P10_C10,run-20251218-104527_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-104933_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-105339_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-105745_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C10,run-20251218-110150_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C20,run-20251218-112836_uc6_p10_c20_m2000_r10_s256_RELAY,0.2,0.1,2.0,2.0,2.0
UC6_P10_C20,run-20251218-113251_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C20,run-20251218-113656_uc6_p10_c20_m2000_r10_s256_RELAY,0.8,0.1,8.0,8.0,8.0
UC6_P10_C20,run-20251218-114102_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C20,run-20251218-114445_uc6_p10_c20_m2000_r10_s256_RELAY,1.7,0.2,8.5,8.5,8.5
UC6_P10_C20,run-20251218-114850_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C20,run-20251218-115256_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.1,0.0,0.0,0.0
UC6_P10_C20,run-20251218-115702_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C20,run-20251218-120045_uc6_p10_c20_m2000_r10_s256_RELAY,0.1,0.1,1.0,1.0,1.0
UC6_P10_C20,run-20251218-120450_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,0.8,0.1,8.0,8.0,8.0
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,0.4,0.1,4.0,4.0,4.0
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,,,
UC6_P50_C10,run-20251214-164654_uc6_p50_c10_m2000_r10_s256_RELAY,31.58,0.72,18.444444444444443,53.74074074074074,53.74074074074074
UC6_P50_C10,run-20251214-165116_uc6_p50_c10_m2000_r10_s256_RELAY,1231.2,0.42,4100.933333333333,4103.066666666667,4103.066666666667
UC6_P50_C10,run-20251214-165534_uc6_p50_c10_m2000_r10_s256_RELAY,28.76,0.66,56.26086956521739,60.69565217391305,60.69565217391305
UC6_P50_C10,run-20251214-165953_uc6_p50_c10_m2000_r10_s256_RELAY,6.44,0.7,10.25,13.85,13.85
UC6_P50_C10,run-20251214-170410_uc6_p50_c10_m2000_r10_s256_RELAY,1197.66,0.26,5443.636363636364,5443.636363636364,5443.636363636364
