uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,churn_pct,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC6_P10_C10,run-20251218-102459_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.5,10.0,0.0,0.7,1.0,810.3,1021.7,0.9,1.0,1.0,1.0,1.5,1.0,3.353193562256886,2.4,0.3,8.0,8.0,8.0,4.2,6.8,101.2,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-102904_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.1,1.0,1.7,811.3,1015.0,0.9,1.0,1.0,1.2,1.8,1.0,3.8490797599156794,0.0,0.0,,,,2.1,5.6,87.8,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-103310_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.0,1.4,1.7,802.9,1032.4,1.0,1.3,1.4,1.4,2.0,1.0,4.032240292021129,1.0,0.2,5.0,5.0,5.0,2.5,6.3,113.3,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-103716_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.5,10.0,0.2,1.5,1.8,812.0,1015.8,1.4,1.5,1.5,1.5,1.9,1.0,4.399790543053655,0.0,0.0,,,,4.4,7.6,102.7,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-104122_uc6_p10_c10_m2000_r10_s256_RELAY,0.8,0.0,1600.0,1600.0,1600.0,0.0,0.0,10.0,0.125,1.25,1.625,1.625,2.25,0.875,0.875,0.875,0.875,1.25,1.0,3.995019214240145,0.4,0.1,4.0,4.0,4.0,1.5,4.4,42091.3,1.0,0.8,0.8,1.0
UC6_P10_C10,run-20251218-104527_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.0,1.5,1.8,809.1,1018.6,0.9,1.5,1.6,1.6,1.8,1.0,4.093335384207865,0.0,0.0,,,,3.0,6.6,84.5,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-104933_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.2,1.4,1.8,810.0,1028.1,1.0,1.4,1.5,1.5,2.0,1.0,3.637473245964935,0.0,0.0,,,,2.0,5.7,92.9,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-105339_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.5,1.5,1.7,809.4,1010.1,1.4,1.4,1.4,1.4,1.7,1.0,3.801164433589802,0.0,0.0,,,,2.2,5.9,95.5,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-105745_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.4,1.2,1.7,807.9,1025.7,1.2,1.2,1.3,1.3,1.6,1.0,3.5985793426230885,0.0,0.0,,,,2.6,6.1,107.5,1.0,1.0,1.0,1.0
UC6_P10_C10,run-20251218-110150_uc6_p10_c10_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,210001.4,0.0,0.0,0.0,
UC6_P10_C20,run-20251218-112836_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.6,20.0,0.1,1.1,1.7,1639.2,2049.8,0.7,0.8,1.3,1.3,1.5,1.0,3.5223557570531883,0.2,0.1,2.0,2.0,2.0,2.0,5.6,107.3,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-113251_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,20.0,0.0,1.1,1.5,1627.0,2036.6,0.8,1.0,1.0,1.0,1.6,1.0,3.4998128721205175,0.0,0.0,,,,2.9,6.3,105.0,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-113656_uc6_p10_c20_m2000_r10_s256_RELAY,0.7,0.0,1400.0,1400.0,1400.0,0.0,0.0,20.0,0.0,1.1428571428571428,1.5714285714285714,1173.7142857142858,1461.2857142857142,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.7142857142857142,1.0,3.8479277964182637,0.8,0.1,8.0,8.0,8.0,0.4,3.0,63078.0,1.0,0.7,0.7,1.0
UC6_P10_C20,run-20251218-114102_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.1,0.0,0.0,0.0,
UC6_P10_C20,run-20251218-114445_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.5,20.0,0.1,1.0,1.6,1627.5,2030.1,0.8,0.8,0.8,1.0,1.7,1.0,3.64723417364321,1.7,0.2,8.5,8.5,8.5,1.6,5.3,91.1,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-114850_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,20.0,0.0,1.1,1.8,1639.8,2046.3,0.6,0.9,1.6,1.6,1.9,1.0,3.6121883845965415,0.0,0.0,,,,2.3,5.9,108.4,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-115256_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.6,20.0,0.0,1.0,1.7,1638.1,2041.1,0.7,0.9,1.1,1.1,1.5,1.0,4.1233164237091735,0.0,0.1,0.0,0.0,0.0,2.2,6.0,130.2,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-115702_uc6_p10_c20_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.2,0.0,0.0,0.0,
UC6_P10_C20,run-20251218-120045_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,20.0,0.0,1.0,1.6,1627.3,2038.6,0.6,0.6,0.7,0.7,1.4,1.0,4.098492196746457,0.1,0.1,1.0,1.0,1.0,3.5,7.1,99.5,1.0,1.0,1.0,1.0
UC6_P10_C20,run-20251218-120450_uc6_p10_c20_m2000_r10_s256_RELAY,0.6,0.0,1200.0,1200.0,1200.0,0.0,13.1,20.0,0.0,1.0,1.5,2721.1666666666665,3397.5,0.3333333333333333,0.5,0.8333333333333334,0.8333333333333334,1.1666666666666667,1.0,3.8204405758026247,0.0,0.0,,,,0.5,2.8,84076.1,1.0,0.6,0.6,1.0
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,13.2,30.0,0.0,1.3,1.6,2453.6,3068.9,0.8,1.0,1.2,1.2,1.7,1.0,3.274882977799649,0.0,0.0,,,,1.6,5.0,85.9,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,19.8,30.0,0.0,1.0,1.7,2460.6,3079.1,0.6,0.8,0.8,0.9,1.9,1.0,3.930337327939165,0.8,0.1,8.0,8.0,8.0,3.3,6.7,101.4,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,6.6,30.0,0.1,1.2,1.7,2448.0,3072.1,0.9,0.9,1.2,1.4,2.5,1.0,3.875720306954084,0.4,0.1,4.0,4.0,4.0,3.6,7.0,113.5,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,30.0,0.3,1.3,1.8,2460.2,3092.0,1.1,1.3,1.4,1.5,1.9,1.0,3.8192784707178555,0.0,0.0,,,,1.7,5.4,101.4,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-122521_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,210001.2,0.0,0.0,0.0,
UC6_P10_C30,run-20251218-122904_uc6_p10_c30_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,210001.3,0.0,0.0,0.0,
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,9.6,30.0,0.2,1.1,1.7,2461.3,3074.2,0.9,1.2,1.3,1.3,2.0,1.0,3.3768092252224826,0.0,0.0,,,,2.9,6.2,102.5,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,30.0,0.0,1.3,1.8,2476.9,3106.3,0.9,1.3,1.6,1.6,2.3,1.0,3.999084793763669,0.0,0.0,,,,2.6,6.3,122.3,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,13.2,30.0,0.0,1.0,1.8,2456.3,3083.2,0.6,0.9,1.5,1.8,2.0,1.0,3.7936982875553817,0.0,0.0,,,,2.5,6.1,89.0,1.0,1.0,1.0,1.0
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.1,0.0,200.0,200.0,200.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,189367.6,1.0,0.1,0.1,1.0
UC6_P50_C10,run-20251214-164654_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,10.0,0.42,1.66,2.28,1189.18,1430.18,2.36,2.74,3.34,3.34,3.7,1.0,3.748976641378899,31.58,0.72,18.444444444444443,53.74074074074074,53.74074074074074,18.98,22.34,175.0,1.0,1.0,1.0,1.0
UC6_P50_C10,run-20251214-165116_uc6_p50_c10_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,1.6,10.0,0.40816326530612246,1.6122448979591837,419.1224489795918,2172.0,2397.816326530612,2.2653061224489797,2.5510204081632653,3.510204081632653,3.510204081632653,3.836734693877551,1.0,3.5078429257808734,1231.2,0.42,4100.933333333333,4103.066666666667,4103.066666666667,18.96,22.0,162.18,1.0,1.0,0.98,0.98
UC6_P50_C10,run-20251214-165534_uc6_p50_c10_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,1.52,10.0,0.3469387755102041,1.5714285714285714,49.795918367346935,1172.3877551020407,1428.591836734694,2.1020408163265305,2.795918367346939,4.020408163265306,4.224489795918367,5.387755102040816,1.0,3.7575446313202074,28.76,0.66,56.26086956521739,60.69565217391305,60.69565217391305,18.7,21.98,172.24,1.0,1.0,0.98,0.98
UC6_P50_C10,run-20251214-165953_uc6_p50_c10_m2000_r10_s256_RELAY,0.9839600000000001,0.0,1967.92,1967.92,2000.0,0.0,0.82,10.0,0.26,1.54,2.32,714.98,921.32,1.82,3.74,5.82,5.88,6.12,1.0,3.61930694429236,6.44,0.7,10.25,13.85,13.85,18.72,22.0,126.64,1.0,1.0,1.0,0.9839600000000001
UC6_P50_C10,run-20251214-170410_uc6_p50_c10_m2000_r10_s256_RELAY,0.9,0.0,1800.0,1800.0,1800.0,0.0,2.72,10.0,0.3111111111111111,1.6222222222222222,2.2444444444444445,746.6888888888889,959.0444444444445,1.8222222222222222,2.4444444444444446,3.2444444444444445,3.3333333333333335,3.7777777777777777,1.0,3.757471217734072,1197.66,0.26,5443.636363636364,5443.636363636364,5443.636363636364,11.22,13.84,21275.66,1.0,0.9,0.9,1.0
UC6_P50_C10,run-20251214-170829_uc6_p50_c10_m2000_r10_s256_RELAY,0.95187,0.0,1903.74,1903.74,2000.0,0.0,6.6,10.0,0.34,1.48,172.26,800.44,912.42,2.12,2.3,3.54,3.6,4.0,1.0,3.9825533618188746,7.54,0.6,15.217391304347826,16.347826086956523,16.347826086956523,18.2,21.5,167.08,1.0,1.0,1.0,0.95187
UC6_P50_C10,run-20251214-171247_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,3.62,10.0,0.32,1.48,175.56,1306.02,1511.62,2.14,2.34,2.58,2.58,3.3,1.0,3.680534249156392,30.24,0.78,16.82608695652174,62.78260869565217,62.78260869565217,18.42,21.62,164.24,1.0,1.0,1.0,1.0
UC6_P50_C10,run-20251214-171705_uc6_p50_c10_m2000_r10_s256_RELAY,0.96395,0.0,1927.9,1927.9,1960.0,0.0,5.66,10.0,0.42857142857142855,1.6326530612244898,180.51020408163265,1153.4285714285713,1372.265306122449,2.5714285714285716,2.9591836734693877,3.8979591836734695,3.8979591836734695,4.26530612244898,1.0,3.5208891587187345,3247.38,0.66,8536.315789473685,8540.684210526315,8540.684210526315,18.32,21.28,166.94,1.0,1.0,0.98,0.96395
UC6_P50_C10,run-20251214-172123_uc6_p50_c10_m2000_r10_s256_RELAY,0.96394,0.0,1927.88,1927.88,1960.0,0.0,2.72,10.0,0.3673469387755102,1.6326530612244898,2.183673469387755,827.1632653061224,1031.0408163265306,2.0,2.693877551020408,3.1020408163265305,3.1020408163265305,4.020408163265306,1.0,3.590978344257,6.74,0.76,10.346153846153847,12.384615384615385,12.384615384615385,18.14,21.24,4340.18,1.0,0.98,0.98,0.9836122448979593
UC6_P50_C10,run-20251214-172542_uc6_p50_c10_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,1.0,3.742020137546291,7.48,0.74,10.818181818181818,14.681818181818182,14.681818181818182,17.32,20.4,8567.48,0.0,0.96,0.0,0.0
UC6_P50_C20,run-20251214-173119_uc6_p50_c20_m2000_r10_s256_RELAY,0.98398,0.0,1967.96,1967.96,2000.0,0.0,7.08,20.0,0.32,1.58,2.48,1699.52,2101.08,1.86,2.9,3.46,3.46,3.88,1.0,3.6170128335793588,4507.02,0.56,11262.1,11266.3,11266.3,19.12,22.04,176.72,1.0,1.0,1.0,0.98398
UC6_P50_C20,run-20251214-173538_uc6_p50_c20_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,210001.2,0.0,0.0,0.0,
