uc,run,joined_ratio,saw_test_ratio
UC6_P10_C10,run-20251218-102459_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-102904_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-103310_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-103716_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-104122_uc6_p10_c10_m2000_r10_s256_RELAY,0.8,0.8
UC6_P10_C10,run-20251218-104527_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-104933_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-105339_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C10,run-20251218-105745_uc6_p10_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-112836_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-113251_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-113656_uc6_p10_c20_m2000_r10_s256_RELAY,0.7,0.7
UC6_P10_C20,run-20251218-114445_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-114850_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-115256_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-120045_uc6_p10_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C20,run-20251218-120450_uc6_p10_c20_m2000_r10_s256_RELAY,0.6,0.6
UC6_P10_C30,run-20251218-120858_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-121304_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-121710_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-122116_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-123247_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-123652_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-124058_uc6_p10_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P10_C30,run-20251218-124504_uc6_p10_c30_m2000_r10_s256_RELAY,0.1,0.1
UC6_P50_C10,run-20251214-164654_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C10,run-20251214-165116_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,0.98
UC6_P50_C10,run-20251214-165534_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,0.98
UC6_P50_C10,run-20251214-165953_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C10,run-20251214-170410_uc6_p50_c10_m2000_r10_s256_RELAY,0.9,0.9
UC6_P50_C10,run-20251214-170829_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C10,run-20251214-171247_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C10,run-20251214-171705_uc6_p50_c10_m2000_r10_s256_RELAY,1.0,0.98
UC6_P50_C10,run-20251214-172123_uc6_p50_c10_m2000_r10_s256_RELAY,0.98,0.98
UC6_P50_C20,run-20251214-173119_uc6_p50_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C20,run-20251214-173936_uc6_p50_c20_m2000_r10_s256_RELAY,1.0,0.98
UC6_P50_C20,run-20251214-180331_uc6_p50_c20_m2000_r10_s256_RELAY,0.98,0.98
UC6_P50_C20,run-20251214-180750_uc6_p50_c20_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C30,run-20251214-181629_uc6_p50_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C30,run-20251214-182442_uc6_p50_c30_m2000_r10_s256_RELAY,0.98,0.98
UC6_P50_C30,run-20251214-183652_uc6_p50_c30_m2000_r10_s256_RELAY,1.0,1.0
UC6_P50_C30,run-20251214-184901_uc6_p50_c30_m2000_r10_s256_RELAY,1.0,1.0
