uc,run,delivery_rate_joined_only
UC7_P10,run-20251202-191226_uc7_p10_m2000_r10_s256_DIRECT,0.8998000000000002
UC7_P10,run-20251202-191603_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC7_P10,run-20251202-191938_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC7_P10,run-20251202-192320_uc7_p10_m2000_r10_s256_DIRECT,0.9999
UC7_P10,run-20251202-192701_uc7_p10_m2000_r10_s256_DIRECT,0.89955
UC7_P10,run-20251202-193039_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC7_P10,run-20251202-193414_uc7_p10_m2000_r10_s256_DIRECT,0.9995499999999999
UC7_P10,run-20251202-193750_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC7_P10,run-20251202-194128_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC7_P10,run-20251202-194504_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC7_P50,run-20251202-111206_uc7_p50_m2000_r10_s256_DIRECT,0.9575625
UC7_P50,run-20251202-111555_uc7_p50_m2000_r10_s256_DIRECT,0.9995
UC7_P50,run-20251202-111939_uc7_p50_m2000_r10_s256_DIRECT,0.9983125
UC7_P50,run-20251202-112319_uc7_p50_m2000_r10_s256_DIRECT,0.9989166666666667
UC7_P50,run-20251202-112700_uc7_p50_m2000_r10_s256_DIRECT,0.9782872340425532
UC7_P50,run-20251202-113042_uc7_p50_m2000_r10_s256_DIRECT,0.95728125
UC7_P50,run-20251202-113424_uc7_p50_m2000_r10_s256_DIRECT,0.9781630434782609
UC7_P50,run-20251202-113811_uc7_p50_m2000_r10_s256_DIRECT,0.9986734693877551
UC7_P50,run-20251202-114152_uc7_p50_m2000_r10_s256_DIRECT,0.9777604166666668
UC8_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-212036_uc8_p50_m2000_r10_s256_RELAY,0.98
UC8_P50,run-20251202-212436_uc8_p50_m2000_r10_s256_RELAY,0.96
UC8_P50,run-20251202-212837_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-213237_uc8_p50_m2000_r10_s256_RELAY,0.98
UC8_P50,run-20251202-213638_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-214441_uc8_p50_m2000_r10_s256_RELAY,0.94
UC8_P50,run-20251202-215244_uc8_p50_m2000_r10_s256_RELAY,0.96
UC8_P50,run-20251202-215644_uc8_p50_m2000_r10_s256_RELAY,0.98
