uc,run,reconnect_samples_joined_only
UC7_P10,run-20251202-191226_uc7_p10_m2000_r10_s256_DIRECT,0.5
UC7_P10,run-20251202-191603_uc7_p10_m2000_r10_s256_DIRECT,0.8
UC7_P10,run-20251202-191938_uc7_p10_m2000_r10_s256_DIRECT,0.9
UC7_P10,run-20251202-192320_uc7_p10_m2000_r10_s256_DIRECT,0.8
UC7_P10,run-20251202-192701_uc7_p10_m2000_r10_s256_DIRECT,0.5
UC7_P10,run-20251202-193039_uc7_p10_m2000_r10_s256_DIRECT,0.5
UC7_P10,run-20251202-193414_uc7_p10_m2000_r10_s256_DIRECT,0.8
UC7_P10,run-20251202-193750_uc7_p10_m2000_r10_s256_DIRECT,0.7
UC7_P10,run-20251202-194128_uc7_p10_m2000_r10_s256_DIRECT,0.6
UC7_P10,run-20251202-194504_uc7_p10_m2000_r10_s256_DIRECT,0.8
UC7_P50,run-20251202-111206_uc7_p50_m2000_r10_s256_DIRECT,2.0
UC7_P50,run-20251202-111555_uc7_p50_m2000_r10_s256_DIRECT,0.6086956521739131
UC7_P50,run-20251202-111939_uc7_p50_m2000_r10_s256_DIRECT,2.1875
UC7_P50,run-20251202-112319_uc7_p50_m2000_r10_s256_DIRECT,1.7083333333333333
UC7_P50,run-20251202-112700_uc7_p50_m2000_r10_s256_DIRECT,1.6595744680851063
UC7_P50,run-20251202-113042_uc7_p50_m2000_r10_s256_DIRECT,1.9583333333333333
UC7_P50,run-20251202-113424_uc7_p50_m2000_r10_s256_DIRECT,0.8260869565217391
UC7_P50,run-20251202-113811_uc7_p50_m2000_r10_s256_DIRECT,2.795918367346939
UC7_P50,run-20251202-114152_uc7_p50_m2000_r10_s256_DIRECT,1.375
UC8_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,0.3
UC8_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,0.2
UC8_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,0.7
UC8_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,0.7
UC8_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,0.5
UC8_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,0.2
UC8_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,0.4
UC8_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,0.5
UC8_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,0.4
UC8_P50,run-20251202-212036_uc8_p50_m2000_r10_s256_RELAY,1.04
UC8_P50,run-20251202-212436_uc8_p50_m2000_r10_s256_RELAY,0.92
UC8_P50,run-20251202-212837_uc8_p50_m2000_r10_s256_RELAY,1.16
UC8_P50,run-20251202-213237_uc8_p50_m2000_r10_s256_RELAY,0.8
UC8_P50,run-20251202-213638_uc8_p50_m2000_r10_s256_RELAY,0.78
UC8_P50,run-20251202-214441_uc8_p50_m2000_r10_s256_RELAY,0.5
UC8_P50,run-20251202-215244_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-215644_uc8_p50_m2000_r10_s256_RELAY,0.78
