uc,run,neighbour_down,neighbour_up
UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,11.75,14.375
UC1_P40,run-20251203-224949_uc7_p40_m2000_r10_s256_DIRECT,15.55,18.375
UC1_P40,run-20251203-225348_uc7_p40_m2000_r10_s256_DIRECT,20.225,23.275
UC1_P40,run-20251203-225746_uc7_p40_m2000_r10_s256_DIRECT,16.075,18.725
UC1_P40,run-20251203-230145_uc7_p40_m2000_r10_s256_DIRECT,12.125,14.775
UC1_P40,run-20251203-230546_uc7_p40_m2000_r10_s256_DIRECT,16.125,18.75
UC1_P40,run-20251203-230946_uc7_p40_m2000_r10_s256_DIRECT,6.025,9.025
UC1_P40,run-20251203-231343_uc7_p40_m2000_r10_s256_DIRECT,15.1,18.3
UC1_P40,run-20251203-231741_uc7_p40_m2000_r10_s256_DIRECT,7.625,10.8
UC1_P40,run-20251203-232148_uc7_p40_m2000_r10_s256_DIRECT,16.05,19.25
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0,0.0
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,12.16,14.78
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,16.92,19.58
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,16.58,19.38
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,17.58,20.52
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,6.06,8.84
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,18.14,20.96
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,16.24,19.46
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,17.12,19.94
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,17.92,20.86
UC2_P40,run-20251203-221941_uc8_p40_m2000_r10_s256_RELAY,13.125,16.025
UC2_P40,run-20251203-222028_uc8_p40_m2000_r10_s256_RELAY,12.675,15.7
UC2_P40,run-20251203-222419_uc8_p40_m2000_r10_s256_RELAY,16.9,20.05
UC2_P40,run-20251203-222811_uc8_p40_m2000_r10_s256_RELAY,11.25,14.15
UC2_P40,run-20251203-222858_uc8_p40_m2000_r10_s256_RELAY,12.45,15.6
UC2_P40,run-20251203-222944_uc8_p40_m2000_r10_s256_RELAY,11.25,14.25
UC2_P40,run-20251203-223336_uc8_p40_m2000_r10_s256_RELAY,16.65,19.275
UC2_P40,run-20251203-223728_uc8_p40_m2000_r10_s256_RELAY,17.9,20.3
UC2_P40,run-20251203-224119_uc8_p40_m2000_r10_s256_RELAY,12.0,15.175
UC2_P40,run-20251203-224511_uc8_p40_m2000_r10_s256_RELAY,12.35,15.35
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,16.74,19.04
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,15.4,18.04
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,16.08,18.38
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,15.14,17.76
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,21.42,23.46
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,19.06,21.5
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,13.9,16.4
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,15.84,17.92
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,16.0,18.34
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,16.5,19.04
