uc,run,pr_avg_ratio
UC8_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-182409_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-182838_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-183306_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-183735_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-184205_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-184634_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-185104_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-185536_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-190004_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P20,run-20251202-190434_uc8_p20_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-200049_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-200441_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-200836_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-201230_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-201625_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-202020_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-202415_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-202809_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-203204_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P30,run-20251202-203558_uc8_p30_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-204009_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-204407_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-204805_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-205203_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-205600_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-205958_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-210356_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-210753_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-211150_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P40,run-20251202-211548_uc8_p40_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-212036_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-212436_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-212837_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-213237_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-213638_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-214039_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-214441_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-214842_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-215244_uc8_p50_m2000_r10_s256_RELAY,1.0
UC8_P50,run-20251202-215644_uc8_p50_m2000_r10_s256_RELAY,1.0
