uc,run,avg_connected_peers
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,3.314758667159788
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,3.842725703347148
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,3.9131917462698205
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,3.5487244702684224
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,3.814307774706274
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,3.5490456065224163
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,3.575394044694619
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,3.6266009666844012
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,3.351701881693737
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,3.9064001416095437
UC3_P20,run-20251204-000612_uc9_p20_m2000_r10_s256_DIRECT,3.8172344451049676
UC3_P20,run-20251204-000958_uc9_p20_m2000_r10_s256_DIRECT,4.015566258209541
UC3_P20,run-20251204-001343_uc9_p20_m2000_r10_s256_DIRECT,3.6175075456900307
UC3_P20,run-20251204-001729_uc9_p20_m2000_r10_s256_DIRECT,3.8849802214014124
UC3_P20,run-20251204-002115_uc9_p20_m2000_r10_s256_DIRECT,3.708203574035019
UC3_P20,run-20251204-002501_uc9_p20_m2000_r10_s256_DIRECT,3.785693106830464
UC3_P20,run-20251204-002846_uc9_p20_m2000_r10_s256_DIRECT,3.978957023689489
UC3_P20,run-20251204-003234_uc9_p20_m2000_r10_s256_DIRECT,3.59019159395422
UC3_P20,run-20251204-003622_uc9_p20_m2000_r10_s256_DIRECT,3.913753067595471
UC3_P20,run-20251204-004008_uc9_p20_m2000_r10_s256_DIRECT,3.673789556594323
UC3_P30,run-20251204-073428_uc9_p30_m2000_r10_s256_DIRECT,3.964691518857955
UC3_P30,run-20251204-073826_uc9_p30_m2000_r10_s256_DIRECT,3.8567800957300618
UC3_P30,run-20251204-074218_uc9_p30_m2000_r10_s256_DIRECT,3.64645425724808
UC3_P30,run-20251204-074611_uc9_p30_m2000_r10_s256_DIRECT,3.938660402690998
UC3_P30,run-20251204-075003_uc9_p30_m2000_r10_s256_DIRECT,3.875138849184211
UC3_P30,run-20251204-075356_uc9_p30_m2000_r10_s256_DIRECT,3.7236744646278646
UC3_P30,run-20251204-075748_uc9_p30_m2000_r10_s256_DIRECT,3.902824562927386
UC3_P30,run-20251204-080141_uc9_p30_m2000_r10_s256_DIRECT,3.9472857767175853
UC3_P30,run-20251204-080533_uc9_p30_m2000_r10_s256_DIRECT,3.6684677591250203
UC3_P30,run-20251204-080930_uc9_p30_m2000_r10_s256_DIRECT,3.6476400440037335
UC3_P40,run-20251204-093601_uc9_p40_m2000_r10_s256_DIRECT,3.7657065730753594
UC3_P40,run-20251204-094352_uc9_p40_m2000_r10_s256_DIRECT,3.6809293197868973
UC3_P40,run-20251204-094748_uc9_p40_m2000_r10_s256_DIRECT,3.879847101475536
UC3_P40,run-20251204-095143_uc9_p40_m2000_r10_s256_DIRECT,3.8933013773017593
UC3_P40,run-20251204-095539_uc9_p40_m2000_r10_s256_DIRECT,3.656761924930163
UC3_P40,run-20251204-095935_uc9_p40_m2000_r10_s256_DIRECT,3.8347264724190273
UC3_P40,run-20251204-100331_uc9_p40_m2000_r10_s256_DIRECT,4.055987277422027
UC3_P40,run-20251204-100727_uc9_p40_m2000_r10_s256_DIRECT,3.6942828074684213
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,3.686721915581907
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,3.684915543271278
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,3.6274492221671135
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,3.6843655749074675
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,3.8462719120417956
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,3.7453284715196395
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,3.422699607093193
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,3.6221924137078556
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,3.7469354676555513
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,3.5104157571067547
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,3.699945423683993
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,3.8646895490006306
