uc,run,joined_ratio,saw_test_ratio
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,0.9,0.9
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,0.8,0.8
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,0.9,0.9
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,0.9,0.9
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-000612_uc9_p20_m2000_r10_s256_DIRECT,0.85,0.85
UC3_P20,run-20251204-000958_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-001343_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-001729_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-002115_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-002501_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-002846_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-003234_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-003622_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P20,run-20251204-004008_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-073428_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-073826_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-074218_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-074611_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-075003_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-075356_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-075748_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-080141_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-080533_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P30,run-20251204-080930_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-093601_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-094352_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-094748_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-095143_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-095539_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-095935_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-100331_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-100727_uc9_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC3_P40,run-20251204-101125_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P40,run-20251204-101521_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,0.98,0.98
