uc,run,rt_avg_ms
UC9_P10,run-20251202-191923_uc9_p10_m2000_r10_s256_DIRECT,3356.8
UC9_P10,run-20251202-192327_uc9_p10_m2000_r10_s256_DIRECT,1899.5
UC9_P10,run-20251202-192734_uc9_p10_m2000_r10_s256_DIRECT,1037.7142857142858
UC9_P10,run-20251202-193139_uc9_p10_m2000_r10_s256_DIRECT,1662.125
UC9_P10,run-20251202-193549_uc9_p10_m2000_r10_s256_DIRECT,5722.777777777777
UC9_P10,run-20251202-193956_uc9_p10_m2000_r10_s256_DIRECT,14926.142857142857
UC9_P10,run-20251202-194402_uc9_p10_m2000_r10_s256_DIRECT,11022.7
UC9_P10,run-20251202-194810_uc9_p10_m2000_r10_s256_DIRECT,4553.222222222223
UC9_P10,run-20251202-195216_uc9_p10_m2000_r10_s256_DIRECT,5610.714285714285
UC9_P10,run-20251202-195623_uc9_p10_m2000_r10_s256_DIRECT,28736.7
UC9_P20,run-20251202-200818_uc9_p20_m2000_r10_s256_DIRECT,11970.105263157895
UC9_P20,run-20251202-201252_uc9_p20_m2000_r10_s256_DIRECT,2487.45
UC9_P20,run-20251202-201704_uc9_p20_m2000_r10_s256_DIRECT,2744.6111111111113
UC9_P20,run-20251202-202118_uc9_p20_m2000_r10_s256_DIRECT,2948.5263157894738
UC9_P20,run-20251202-202529_uc9_p20_m2000_r10_s256_DIRECT,1720.15
UC9_P20,run-20251202-202944_uc9_p20_m2000_r10_s256_DIRECT,7167.75
UC9_P20,run-20251202-203359_uc9_p20_m2000_r10_s256_DIRECT,8481.315789473685
UC9_P20,run-20251202-203812_uc9_p20_m2000_r10_s256_DIRECT,3769.0
UC9_P20,run-20251202-204225_uc9_p20_m2000_r10_s256_DIRECT,1693.7
UC9_P20,run-20251202-204637_uc9_p20_m2000_r10_s256_DIRECT,4764.210526315789
UC9_P30,run-20251202-205050_uc9_p30_m2000_r10_s256_DIRECT,3278.133333333333
UC9_P30,run-20251202-205504_uc9_p30_m2000_r10_s256_DIRECT,4040.133333333333
UC9_P30,run-20251202-205918_uc9_p30_m2000_r10_s256_DIRECT,2198.866666666667
UC9_P30,run-20251202-210333_uc9_p30_m2000_r10_s256_DIRECT,1662.5333333333333
UC9_P30,run-20251202-210746_uc9_p30_m2000_r10_s256_DIRECT,1430.4333333333334
UC9_P30,run-20251202-211202_uc9_p30_m2000_r10_s256_DIRECT,2509.0333333333333
UC9_P30,run-20251202-211616_uc9_p30_m2000_r10_s256_DIRECT,919.5
UC9_P30,run-20251202-212029_uc9_p30_m2000_r10_s256_DIRECT,863.2
UC9_P30,run-20251202-212440_uc9_p30_m2000_r10_s256_DIRECT,1824.5333333333333
UC9_P30,run-20251202-212851_uc9_p30_m2000_r10_s256_DIRECT,860.0
UC9_P40,run-20251202-213439_uc9_p40_m2000_r10_s256_DIRECT,1693.85
UC9_P40,run-20251202-213854_uc9_p40_m2000_r10_s256_DIRECT,941.7
UC9_P40,run-20251202-214257_uc9_p40_m2000_r10_s256_DIRECT,1204.125
UC9_P40,run-20251202-214704_uc9_p40_m2000_r10_s256_DIRECT,1184.725
UC9_P40,run-20251202-215106_uc9_p40_m2000_r10_s256_DIRECT,1446.825
UC9_P40,run-20251202-215511_uc9_p40_m2000_r10_s256_DIRECT,1404.5
UC9_P40,run-20251202-215915_uc9_p40_m2000_r10_s256_DIRECT,2304.55
UC9_P40,run-20251202-220316_uc9_p40_m2000_r10_s256_DIRECT,1121.125
UC9_P40,run-20251202-220719_uc9_p40_m2000_r10_s256_DIRECT,1200.625
UC9_P40,run-20251202-221122_uc9_p40_m2000_r10_s256_DIRECT,2677.5384615384614
UC9_P50,run-20251202-222159_uc9_p50_m2000_r10_s256_DIRECT,1759.16
UC9_P50,run-20251202-222601_uc9_p50_m2000_r10_s256_DIRECT,2630.58
UC9_P50,run-20251202-223002_uc9_p50_m2000_r10_s256_DIRECT,2499.62
UC9_P50,run-20251202-223403_uc9_p50_m2000_r10_s256_DIRECT,1895.68
UC9_P50,run-20251202-223804_uc9_p50_m2000_r10_s256_DIRECT,2932.5
UC9_P50,run-20251202-224205_uc9_p50_m2000_r10_s256_DIRECT,2318.1
UC9_P50,run-20251202-224606_uc9_p50_m2000_r10_s256_DIRECT,2394.94
UC9_P50,run-20251202-225007_uc9_p50_m2000_r10_s256_DIRECT,2877.88
UC9_P50,run-20251202-225408_uc9_p50_m2000_r10_s256_DIRECT,2791.58
UC9_P50,run-20251202-225809_uc9_p50_m2000_r10_s256_DIRECT,1735.82
