uc,run,delivery_rate,duplicate_rate,lat_p50,lat_p90,lat_p99,lat_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms
UC1-direct,run-20251123-234559,1.0,0.0,0.85,1.15,1.8,6.0,42324.4,1.0,5792.642857142857,6023.642857142857,6023.642857142857,6023.642857142857
UC1-direct,run-20251123-234940,1.0,0.0,0.85,1.25,1.65,6.0,42379.3,1.0,5265.4375,5266.125,5266.125,5266.125
UC1-direct,run-20251123-235113,1.0,0.0,0.75,1.15,1.45,5.0,42359.65,1.0,2678.0,2777.266666666667,2777.266666666667,2777.266666666667
UC1-direct,run-20251123-235423,0.9996750000000001,0.0,0.85,1.2,1.55,5.55,42264.0,1.0,7.25,8.666666666666666,8.666666666666666,8.666666666666666
UC1-direct,run-20251123-235543,0.949475,0.0,0.95,1.15,1.45,5.0,42550.0,1.0,37.27777777777778,67.27777777777777,67.61111111111111,67.61111111111111
UC2-relay,run-20251123-234814,1.0,0.0,0.9,1.25,1.75,5.05,42355.9,1.0,2857.25,2980.9166666666665,2980.9166666666665,2980.9166666666665
UC2-relay,run-20251123-235652,1.0,0.0,0.85,1.1,1.6,5.15,42292.7,1.0,2615.0555555555557,2776.6666666666665,2776.6666666666665,2776.6666666666665
UC2-relay,run-20251123-235807,1.0,0.0,0.8,1.05,1.5,3.15,42250.15,1.0,2438.6,2660.0666666666666,2660.0666666666666,2660.0666666666666
UC2-relay,run-20251123-235937,1.0,0.0,0.8,1.05,1.45,5.55,42343.4,1.0,2135.625,2276.8125,2276.8125,2276.8125
UC2-relay,run-20251124-000054,1.0,0.0,0.8,1.25,1.45,4.05,42287.25,1.0,2894.4285714285716,3001.9285714285716,3001.9285714285716,3001.9285714285716
